date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Centro-Oeste,0,0,0,0
2020-02-26,Centro-Oeste,0,0,0,0
2020-02-27,Centro-Oeste,0,0,0,0
2020-02-28,Centro-Oeste,0,0,0,0
2020-02-29,Centro-Oeste,0,0,0,0
2020-03-01,Centro-Oeste,0,0,0,0
2020-03-02,Centro-Oeste,0,0,0,0
2020-03-03,Centro-Oeste,0,0,0,0
2020-03-04,Centro-Oeste,0,0,0,0
2020-03-05,Centro-Oeste,0,0,0,0
2020-03-06,Centro-Oeste,0,0,0,0
2020-03-07,Centro-Oeste,1,0,1,0
2020-03-08,Centro-Oeste,1,0,0,0
2020-03-09,Centro-Oeste,1,0,0,0
2020-03-10,Centro-Oeste,1,0,0,0
2020-03-11,Centro-Oeste,2,0,1,0
2020-03-12,Centro-Oeste,5,0,3,0
2020-03-13,Centro-Oeste,5,0,0,0
2020-03-14,Centro-Oeste,14,0,9,0
2020-03-15,Centro-Oeste,20,0,6,0
2020-03-16,Centro-Oeste,32,0,12,0
2020-03-17,Centro-Oeste,35,0,3,0
2020-03-18,Centro-Oeste,53,0,18,0
2020-03-19,Centro-Oeste,66,0,13,0
2020-03-20,Centro-Oeste,118,0,52,0
2020-03-21,Centro-Oeste,144,0,26,0
2020-03-22,Centro-Oeste,161,0,17,0
2020-03-23,Centro-Oeste,188,0,27,0
2020-03-24,Centro-Oeste,221,0,33,0
2020-03-25,Centro-Oeste,263,0,42,0
2020-03-26,Centro-Oeste,275,1,12,1
2020-03-27,Centro-Oeste,329,1,54,0
2020-03-28,Centro-Oeste,358,1,29,0
2020-03-29,Centro-Oeste,401,2,43,1
2020-03-30,Centro-Oeste,434,3,33,1
2020-03-31,Centro-Oeste,471,5,37,2
2020-04-01,Centro-Oeste,522,6,51,1
2020-04-02,Centro-Oeste,567,7,45,1
2020-04-03,Centro-Oeste,611,10,44,3
2020-04-04,Centro-Oeste,681,11,70,1
2020-04-05,Centro-Oeste,708,12,27,1
2020-04-06,Centro-Oeste,746,17,38,5
2020-04-07,Centro-Oeste,794,20,48,3
2020-04-08,Centro-Oeste,843,22,49,2
2020-04-09,Centro-Oeste,903,24,60,2
2020-04-10,Centro-Oeste,956,26,53,2
2020-04-11,Centro-Oeste,1022,29,66,3
2020-04-12,Centro-Oeste,1071,33,49,4
2020-04-13,Centro-Oeste,1121,38,50,5
2020-04-14,Centro-Oeste,1188,40,67,2
2020-04-15,Centro-Oeste,1264,40,76,0
2020-04-16,Centro-Oeste,1332,46,68,6
2020-04-17,Centro-Oeste,1396,50,64,4
2020-04-18,Centro-Oeste,1506,52,110,2
