date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Norte,0,0,0,0
2020-02-26,Norte,0,0,0,0
2020-02-27,Norte,0,0,0,0
2020-02-28,Norte,0,0,0,0
2020-02-29,Norte,0,0,0,0
2020-03-01,Norte,0,0,0,0
2020-03-02,Norte,0,0,0,0
2020-03-03,Norte,0,0,0,0
2020-03-04,Norte,0,0,0,0
2020-03-05,Norte,0,0,0,0
2020-03-06,Norte,0,0,0,0
2020-03-07,Norte,0,0,0,0
2020-03-08,Norte,0,0,0,0
2020-03-09,Norte,0,0,0,0
2020-03-10,Norte,0,0,0,0
2020-03-11,Norte,0,0,0,0
2020-03-12,Norte,0,0,0,0
2020-03-13,Norte,2,0,2,0
2020-03-14,Norte,2,0,0,0
2020-03-15,Norte,2,0,0,0
2020-03-16,Norte,2,0,0,0
2020-03-17,Norte,5,0,3,0
2020-03-18,Norte,7,0,2,0
2020-03-19,Norte,9,0,2,0
2020-03-20,Norte,19,0,10,0
2020-03-21,Norte,32,0,13,0
2020-03-22,Norte,52,0,20,0
2020-03-23,Norte,67,0,15,0
2020-03-24,Norte,94,1,27,1
2020-03-25,Norte,106,1,12,0
2020-03-26,Norte,129,1,23,0
2020-03-27,Norte,152,1,23,0
2020-03-28,Norte,189,1,37,0
2020-03-29,Norte,234,1,45,0
2020-03-30,Norte,261,3,27,2
2020-03-31,Norte,298,4,37,1
2020-04-01,Norte,342,5,44,1
2020-04-02,Norte,387,5,45,0
2020-04-03,Norte,460,10,73,5
2020-04-04,Norte,537,16,77,6
2020-04-05,Norte,656,19,119,3
2020-04-06,Norte,823,29,167,10
2020-04-07,Norte,982,34,159,5
2020-04-08,Norte,1235,42,253,8
2020-04-09,Norte,1354,55,119,13
2020-04-10,Norte,1564,68,210,13
2020-04-11,Norte,1689,76,125,8
2020-04-12,Norte,1930,88,241,12
2020-04-13,Norte,2100,99,170,11
2020-04-14,Norte,2485,126,385,27
2020-04-15,Norte,2728,144,243,18
2020-04-16,Norte,3040,172,312,28
2020-04-17,Norte,3289,199,249,27
2020-04-18,Norte,3463,218,174,19
2020-04-19,Norte,3746,241,283,23
2020-04-20,Norte,4154,250,408,9
2020-04-21,Norte,4496,262,342,12
2020-04-22,Norte,4937,281,441,19
2020-04-23,Norte,5534,323,597,42
2020-04-24,Norte,6340,381,806,58
2020-04-25,Norte,7114,426,774,45
2020-04-26,Norte,7841,468,727,42
2020-04-27,Norte,8187,498,346,30
2020-04-28,Norte,8845,544,658,46
2020-04-29,Norte,9753,607,908,63
2020-04-30,Norte,10922,728,1169,121
2020-05-01,Norte,11985,824,1063,96
2020-05-02,Norte,13097,905,1112,81
2020-05-03,Norte,14248,970,1151,65
2020-05-04,Norte,15678,1049,1430,79
2020-05-05,Norte,17694,1157,2016,108
2020-05-06,Norte,20054,1307,2360,150
2020-05-07,Norte,21859,1451,1805,144
2020-05-08,Norte,23663,1616,1804,165
2020-05-09,Norte,25924,1751,2261,135
2020-05-10,Norte,27346,1865,1422,114
2020-05-11,Norte,28640,2049,1294,184
2020-05-12,Norte,31530,2248,2890,199
2020-05-13,Norte,34911,2430,3381,182
2020-05-14,Norte,38193,2603,3282,173
2020-05-15,Norte,41095,2795,2902,192
