date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,AC,0,0,0,0
2020-02-26,Brazil,AC,0,0,0,0
2020-02-27,Brazil,AC,0,0,0,0
2020-02-28,Brazil,AC,0,0,0,0
2020-02-29,Brazil,AC,0,0,0,0
2020-03-01,Brazil,AC,0,0,0,0
2020-03-02,Brazil,AC,0,0,0,0
2020-03-03,Brazil,AC,0,0,0,0
2020-03-04,Brazil,AC,0,0,0,0
2020-03-05,Brazil,AC,0,0,0,0
2020-03-06,Brazil,AC,0,0,0,0
2020-03-07,Brazil,AC,0,0,0,0
2020-03-08,Brazil,AC,0,0,0,0
2020-03-09,Brazil,AC,0,0,0,0
2020-03-10,Brazil,AC,0,0,0,0
2020-03-11,Brazil,AC,0,0,0,0
2020-03-12,Brazil,AC,0,0,0,0
2020-03-13,Brazil,AC,0,0,0,0
2020-03-14,Brazil,AC,0,0,0,0
2020-03-15,Brazil,AC,0,0,0,0
2020-03-16,Brazil,AC,0,0,0,0
2020-03-17,Brazil,AC,3,0,3,0
2020-03-18,Brazil,AC,3,0,0,0
2020-03-19,Brazil,AC,4,0,1,0
2020-03-20,Brazil,AC,7,0,3,0
2020-03-21,Brazil,AC,11,0,4,0
2020-03-22,Brazil,AC,11,0,0,0
2020-03-23,Brazil,AC,17,0,6,0
2020-03-24,Brazil,AC,21,0,4,0
2020-03-25,Brazil,AC,23,0,2,0
2020-03-26,Brazil,AC,23,0,0,0
2020-03-27,Brazil,AC,25,0,2,0
2020-03-28,Brazil,AC,25,0,0,0
2020-03-29,Brazil,AC,34,0,9,0
2020-03-30,Brazil,AC,41,0,7,0
2020-03-31,Brazil,AC,42,0,1,0
2020-04-01,Brazil,AC,43,0,1,0
2020-04-02,Brazil,AC,45,0,2,0
2020-04-03,Brazil,AC,46,0,1,0
2020-04-04,Brazil,AC,46,0,0,0
2020-04-05,Brazil,AC,48,0,2,0
2020-04-06,Brazil,AC,50,1,2,1
2020-04-07,Brazil,AC,50,2,0,1
2020-04-08,Brazil,AC,58,2,8,0
2020-04-09,Brazil,AC,62,2,4,0
2020-04-10,Brazil,AC,70,2,8,0
2020-04-11,Brazil,AC,72,2,2,0
2020-04-12,Brazil,AC,77,2,5,0
2020-04-13,Brazil,AC,90,3,13,1
2020-04-14,Brazil,AC,99,3,9,0
2020-04-15,Brazil,AC,101,4,2,1
2020-04-16,Brazil,AC,115,5,14,1
2020-04-17,Brazil,AC,135,5,20,0
2020-04-18,Brazil,AC,142,6,7,1
2020-04-19,Brazil,AC,163,6,21,0
2020-04-20,Brazil,AC,176,8,13,2
2020-04-21,Brazil,AC,195,8,19,0
2020-04-22,Brazil,AC,214,8,19,0
2020-04-23,Brazil,AC,227,10,13,2
2020-04-24,Brazil,AC,234,11,7,1
2020-04-25,Brazil,AC,258,11,24,0
2020-04-26,Brazil,AC,279,11,21,0
2020-04-27,Brazil,AC,301,14,22,3
2020-04-28,Brazil,AC,317,16,16,2
2020-04-29,Brazil,AC,354,18,37,2
2020-04-30,Brazil,AC,404,19,50,1
2020-05-01,Brazil,AC,487,19,83,0
2020-05-02,Brazil,AC,553,22,66,3
2020-05-03,Brazil,AC,658,25,105,3
2020-05-04,Brazil,AC,733,28,75,3
2020-05-05,Brazil,AC,817,29,84,1
2020-05-06,Brazil,AC,943,35,126,6
2020-05-07,Brazil,AC,1014,36,71,1
2020-05-08,Brazil,AC,1177,38,163,2
2020-05-09,Brazil,AC,1335,40,158,2
2020-05-10,Brazil,AC,1447,41,112,1
2020-05-11,Brazil,AC,1460,44,13,3
2020-05-12,Brazil,AC,1590,51,130,7
2020-05-13,Brazil,AC,1694,52,104,1
2020-05-14,Brazil,AC,1740,55,46,3
2020-05-15,Brazil,AC,1785,57,45,2
2020-05-16,Brazil,AC,1867,59,82,2
