date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,AL,0,0,0,0
2020-02-26,Brazil,AL,0,0,0,0
2020-02-27,Brazil,AL,0,0,0,0
2020-02-28,Brazil,AL,0,0,0,0
2020-02-29,Brazil,AL,0,0,0,0
2020-03-01,Brazil,AL,0,0,0,0
2020-03-02,Brazil,AL,0,0,0,0
2020-03-03,Brazil,AL,0,0,0,0
2020-03-04,Brazil,AL,0,0,0,0
2020-03-05,Brazil,AL,0,0,0,0
2020-03-06,Brazil,AL,0,0,0,0
2020-03-07,Brazil,AL,0,0,0,0
2020-03-08,Brazil,AL,1,0,1,0
2020-03-09,Brazil,AL,1,0,0,0
2020-03-10,Brazil,AL,1,0,0,0
2020-03-11,Brazil,AL,1,0,0,0
2020-03-12,Brazil,AL,1,0,0,0
2020-03-13,Brazil,AL,1,0,0,0
2020-03-14,Brazil,AL,1,0,0,0
2020-03-15,Brazil,AL,1,0,0,0
2020-03-16,Brazil,AL,1,0,0,0
2020-03-17,Brazil,AL,1,0,0,0
2020-03-18,Brazil,AL,1,0,0,0
2020-03-19,Brazil,AL,4,0,3,0
2020-03-20,Brazil,AL,6,0,2,0
2020-03-21,Brazil,AL,7,0,1,0
2020-03-22,Brazil,AL,7,0,0,0
2020-03-23,Brazil,AL,8,0,1,0
2020-03-24,Brazil,AL,10,0,2,0
2020-03-25,Brazil,AL,11,0,1,0
2020-03-26,Brazil,AL,11,0,0,0
2020-03-27,Brazil,AL,12,0,1,0
2020-03-28,Brazil,AL,14,0,2,0
2020-03-29,Brazil,AL,17,0,3,0
2020-03-30,Brazil,AL,17,0,0,0
2020-03-31,Brazil,AL,18,1,1,1
2020-04-01,Brazil,AL,18,1,0,0
2020-04-02,Brazil,AL,18,1,0,0
2020-04-03,Brazil,AL,23,2,5,1
2020-04-04,Brazil,AL,23,2,0,0
2020-04-05,Brazil,AL,28,2,5,0
2020-04-06,Brazil,AL,31,2,3,0
2020-04-07,Brazil,AL,34,2,3,0
2020-04-08,Brazil,AL,37,3,3,1
2020-04-09,Brazil,AL,37,3,0,0
2020-04-10,Brazil,AL,45,3,8,0
2020-04-11,Brazil,AL,48,3,3,0
2020-04-12,Brazil,AL,48,3,0,0
2020-04-13,Brazil,AL,58,4,10,1
2020-04-14,Brazil,AL,72,4,14,0
2020-04-15,Brazil,AL,83,5,11,1
2020-04-16,Brazil,AL,89,5,6,0
2020-04-17,Brazil,AL,110,7,21,2
2020-04-18,Brazil,AL,132,10,22,3
2020-04-19,Brazil,AL,159,15,27,5
2020-04-20,Brazil,AL,171,18,12,3
2020-04-21,Brazil,AL,210,19,39,1
2020-04-22,Brazil,AL,243,20,33,1
2020-04-23,Brazil,AL,324,22,81,2
2020-04-24,Brazil,AL,413,27,89,5
2020-04-25,Brazil,AL,501,29,88,2
2020-04-26,Brazil,AL,560,32,59,3
2020-04-27,Brazil,AL,643,34,83,2
2020-04-28,Brazil,AL,777,36,134,2
2020-04-29,Brazil,AL,957,41,180,5
2020-04-30,Brazil,AL,1045,47,88,6
2020-05-01,Brazil,AL,1226,53,181,6
2020-05-02,Brazil,AL,1371,58,145,5
2020-05-03,Brazil,AL,1441,64,70,6
2020-05-04,Brazil,AL,1538,72,97,8
2020-05-05,Brazil,AL,1605,80,67,8
2020-05-06,Brazil,AL,1703,89,98,9
2020-05-07,Brazil,AL,1867,98,164,9
2020-05-08,Brazil,AL,2033,108,166,10
2020-05-09,Brazil,AL,2170,114,137,6
2020-05-10,Brazil,AL,2258,126,88,12
