date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,AM,0,0,0,0
2020-02-26,Brazil,AM,0,0,0,0
2020-02-27,Brazil,AM,0,0,0,0
2020-02-28,Brazil,AM,0,0,0,0
2020-02-29,Brazil,AM,0,0,0,0
2020-03-01,Brazil,AM,0,0,0,0
2020-03-02,Brazil,AM,0,0,0,0
2020-03-03,Brazil,AM,0,0,0,0
2020-03-04,Brazil,AM,0,0,0,0
2020-03-05,Brazil,AM,0,0,0,0
2020-03-06,Brazil,AM,0,0,0,0
2020-03-07,Brazil,AM,0,0,0,0
2020-03-08,Brazil,AM,0,0,0,0
2020-03-09,Brazil,AM,0,0,0,0
2020-03-10,Brazil,AM,0,0,0,0
2020-03-11,Brazil,AM,0,0,0,0
2020-03-12,Brazil,AM,0,0,0,0
2020-03-13,Brazil,AM,2,0,2,0
2020-03-14,Brazil,AM,2,0,0,0
2020-03-15,Brazil,AM,2,0,0,0
2020-03-16,Brazil,AM,2,0,0,0
2020-03-17,Brazil,AM,2,0,0,0
2020-03-18,Brazil,AM,2,0,0,0
2020-03-19,Brazil,AM,3,0,1,0
2020-03-20,Brazil,AM,7,0,4,0
2020-03-21,Brazil,AM,11,0,4,0
2020-03-22,Brazil,AM,26,0,15,0
2020-03-23,Brazil,AM,32,0,6,0
2020-03-24,Brazil,AM,47,1,15,1
2020-03-25,Brazil,AM,54,1,7,0
2020-03-26,Brazil,AM,67,1,13,0
2020-03-27,Brazil,AM,81,1,14,0
2020-03-28,Brazil,AM,111,1,30,0
2020-03-29,Brazil,AM,140,1,29,0
2020-03-30,Brazil,AM,151,2,11,1
2020-03-31,Brazil,AM,175,3,24,1
2020-04-01,Brazil,AM,200,3,25,0
2020-04-02,Brazil,AM,229,3,29,0
2020-04-03,Brazil,AM,260,7,31,4
2020-04-04,Brazil,AM,311,12,51,5
2020-04-05,Brazil,AM,417,15,106,3
2020-04-06,Brazil,AM,532,19,115,4
2020-04-07,Brazil,AM,636,23,104,4
2020-04-08,Brazil,AM,804,30,168,7
2020-04-09,Brazil,AM,899,40,95,10
2020-04-10,Brazil,AM,981,50,82,10
2020-04-11,Brazil,AM,1049,53,68,3
2020-04-12,Brazil,AM,1206,62,157,9
2020-04-13,Brazil,AM,1275,71,69,9
2020-04-14,Brazil,AM,1484,90,209,19
2020-04-15,Brazil,AM,1554,106,70,16
2020-04-16,Brazil,AM,1719,124,165,18
2020-04-17,Brazil,AM,1809,145,90,21
2020-04-18,Brazil,AM,1897,161,88,16
2020-04-19,Brazil,AM,2044,182,147,21
2020-04-20,Brazil,AM,2160,185,116,3
2020-04-21,Brazil,AM,2270,193,110,8
2020-04-22,Brazil,AM,2479,206,209,13
2020-04-23,Brazil,AM,2888,234,409,28
2020-04-24,Brazil,AM,3194,255,306,21
2020-04-25,Brazil,AM,3635,287,441,32
2020-04-26,Brazil,AM,3833,304,198,17
2020-04-27,Brazil,AM,3928,320,95,16
2020-04-28,Brazil,AM,4337,351,409,31
2020-04-29,Brazil,AM,4801,380,464,29
2020-04-30,Brazil,AM,5254,425,453,45
2020-05-01,Brazil,AM,5723,476,469,51
2020-05-02,Brazil,AM,6062,501,339,25
2020-05-03,Brazil,AM,6683,548,621,47
2020-05-04,Brazil,AM,7313,585,630,37
2020-05-05,Brazil,AM,8109,649,796,64
2020-05-06,Brazil,AM,9243,751,1134,102
2020-05-07,Brazil,AM,10099,806,856,55
2020-05-08,Brazil,AM,10727,874,628,68
2020-05-09,Brazil,AM,11925,962,1198,88
2020-05-10,Brazil,AM,12599,1004,674,42
2020-05-11,Brazil,AM,12919,1035,320,31
2020-05-12,Brazil,AM,14168,1098,1249,63
2020-05-13,Brazil,AM,15816,1160,1648,62
2020-05-14,Brazil,AM,17181,1235,1365,75
2020-05-15,Brazil,AM,18392,1331,1211,96
2020-05-16,Brazil,AM,19677,1375,1285,44
2020-05-17,Brazil,AM,20328,1413,651,38
2020-05-18,Brazil,AM,20913,1433,585,20
2020-05-19,Brazil,AM,22132,1491,1219,58
2020-05-20,Brazil,AM,23704,1561,1572,70
2020-05-21,Brazil,AM,25367,1620,1663,59
2020-05-22,Brazil,AM,27038,1669,1671,49
2020-05-23,Brazil,AM,28802,1744,1764,75
2020-05-24,Brazil,AM,29867,1758,1065,14
2020-05-25,Brazil,AM,30282,1781,415,23
2020-05-26,Brazil,AM,31949,1852,1667,71
2020-05-27,Brazil,AM,33508,1891,1559,39
2020-05-28,Brazil,AM,36146,1964,2638,73
2020-05-29,Brazil,AM,38909,2011,2763,47
2020-05-30,Brazil,AM,40560,2047,1651,36
2020-05-31,Brazil,AM,41378,2052,818,5
2020-06-01,Brazil,AM,41774,2071,396,19
2020-06-02,Brazil,AM,43195,2102,1421,31
2020-06-03,Brazil,AM,44347,2138,1152,36
2020-06-04,Brazil,AM,46473,2158,2126,20
2020-06-05,Brazil,AM,47666,2199,1193,41
2020-06-06,Brazil,AM,48785,2232,1119,33
2020-06-07,Brazil,AM,49269,2250,484,18
2020-06-08,Brazil,AM,49817,2271,548,21
2020-06-09,Brazil,AM,51234,2315,1417,44
2020-06-10,Brazil,AM,52849,2363,1615,48
2020-06-11,Brazil,AM,53989,2400,1140,37
2020-06-12,Brazil,AM,55111,2429,1122,29
2020-06-13,Brazil,AM,56026,2465,915,36
2020-06-14,Brazil,AM,56506,2492,480,27
2020-06-15,Brazil,AM,56777,2512,271,20
2020-06-16,Brazil,AM,58018,2550,1241,38
2020-06-17,Brazil,AM,59547,2579,1529,29
2020-06-18,Brazil,AM,60336,2605,789,26
2020-06-19,Brazil,AM,61341,2624,1005,19
2020-06-20,Brazil,AM,62579,2650,1238,26
2020-06-21,Brazil,AM,63090,2657,511,7
2020-06-22,Brazil,AM,63425,2671,335,14
2020-06-23,Brazil,AM,64808,2686,1383,15
2020-06-24,Brazil,AM,66506,2710,1698,24
2020-06-25,Brazil,AM,67267,2731,761,21
2020-06-26,Brazil,AM,68220,2739,953,8
2020-06-27,Brazil,AM,69022,2772,802,33
2020-06-28,Brazil,AM,69649,2782,627,10
2020-06-29,Brazil,AM,69893,2792,244,10
2020-06-30,Brazil,AM,70823,2823,930,31
2020-07-01,Brazil,AM,72284,2843,1461,20
2020-07-02,Brazil,AM,73530,2862,1246,19
2020-07-03,Brazil,AM,74537,2887,1007,25
2020-07-04,Brazil,AM,75502,2918,965,31
2020-07-05,Brazil,AM,76014,2929,512,11
2020-07-06,Brazil,AM,76427,2938,413,9
2020-07-07,Brazil,AM,79167,2952,2740,14
2020-07-08,Brazil,AM,80082,2967,915,15
2020-07-09,Brazil,AM,81318,2985,1236,18
2020-07-10,Brazil,AM,82507,3008,1189,23
2020-07-11,Brazil,AM,83230,3023,723,15
2020-07-12,Brazil,AM,83526,3039,296,16
2020-07-13,Brazil,AM,84412,3048,886,9
2020-07-14,Brazil,AM,85800,3064,1388,16
2020-07-15,Brazil,AM,86944,3080,1144,16
2020-07-16,Brazil,AM,88025,3094,1081,14
2020-07-17,Brazil,AM,88822,3118,797,24
2020-07-18,Brazil,AM,90534,3129,1712,11
2020-07-19,Brazil,AM,90913,3149,379,20
2020-07-20,Brazil,AM,91389,3146,476,-3
2020-07-21,Brazil,AM,92164,3169,775,23
2020-07-22,Brazil,AM,92721,3183,557,14
2020-07-23,Brazil,AM,94219,3193,1498,10
2020-07-24,Brazil,AM,95424,3199,1205,6
2020-07-25,Brazil,AM,96094,3210,670,11
2020-07-26,Brazil,AM,96463,3217,369,7
2020-07-27,Brazil,AM,97079,3224,616,7
2020-07-28,Brazil,AM,98118,3236,1039,12
2020-07-29,Brazil,AM,99093,3246,975,10
2020-07-30,Brazil,AM,100140,3252,1047,6
2020-07-31,Brazil,AM,100940,3268,800,16
2020-08-01,Brazil,AM,101777,3278,837,10
2020-08-02,Brazil,AM,102124,3283,347,5
2020-08-03,Brazil,AM,102386,3288,262,5
2020-08-04,Brazil,AM,103269,3299,883,11
2020-08-05,Brazil,AM,104250,3317,981,18
2020-08-06,Brazil,AM,105054,3335,804,18
2020-08-07,Brazil,AM,105857,3345,803,10
2020-08-08,Brazil,AM,106428,3355,571,10
2020-08-09,Brazil,AM,106950,3359,522,4
2020-08-10,Brazil,AM,107197,3384,247,25
2020-08-11,Brazil,AM,108105,3405,908,21
2020-08-12,Brazil,AM,108920,3417,815,12
2020-08-13,Brazil,AM,109802,3435,882,18
2020-08-14,Brazil,AM,110777,3455,975,20
2020-08-15,Brazil,AM,111241,3463,464,8
2020-08-16,Brazil,AM,111912,3483,671,20
2020-08-17,Brazil,AM,112263,3505,351,22
2020-08-18,Brazil,AM,112881,3524,618,19
2020-08-19,Brazil,AM,113592,3537,711,13
2020-08-20,Brazil,AM,114335,3551,743,14
2020-08-21,Brazil,AM,114792,3556,457,5
2020-08-22,Brazil,AM,115369,3557,577,1
2020-08-23,Brazil,AM,115615,3563,246,6
2020-08-24,Brazil,AM,115792,3572,177,9
2020-08-25,Brazil,AM,116579,3588,787,16
2020-08-26,Brazil,AM,117412,3600,833,12
2020-08-27,Brazil,AM,118083,3616,671,16
2020-08-28,Brazil,AM,118844,3629,761,13
2020-08-29,Brazil,AM,119859,3634,1015,5
2020-08-30,Brazil,AM,120060,3639,201,5
2020-08-31,Brazil,AM,120296,3649,236,10
2020-09-01,Brazil,AM,120919,3661,623,12
2020-09-02,Brazil,AM,121793,3819,874,158
2020-09-03,Brazil,AM,122520,3828,727,9
2020-09-04,Brazil,AM,123187,3834,667,6
2020-09-05,Brazil,AM,123726,3841,539,7
2020-09-06,Brazil,AM,123811,3847,85,6
2020-09-07,Brazil,AM,123905,3849,94,2
2020-09-08,Brazil,AM,124223,3855,318,6
2020-09-09,Brazil,AM,124959,3863,736,8
2020-09-10,Brazil,AM,125660,3874,701,11
2020-09-11,Brazil,AM,126423,3883,763,9
2020-09-12,Brazil,AM,126939,3888,516,5
2020-09-13,Brazil,AM,127132,3892,193,4
2020-09-14,Brazil,AM,127407,3898,275,6
2020-09-15,Brazil,AM,128150,3907,743,9
2020-09-16,Brazil,AM,128851,3920,701,13
2020-09-17,Brazil,AM,129501,3931,650,11
2020-09-18,Brazil,AM,130359,3950,858,19
2020-09-19,Brazil,AM,131573,3956,1214,6
2020-09-20,Brazil,AM,131757,3959,184,3
2020-09-21,Brazil,AM,131920,3964,163,5
2020-09-22,Brazil,AM,132687,3967,767,3
2020-09-23,Brazil,AM,133413,3984,726,17
2020-09-24,Brazil,AM,134289,3992,876,8
2020-09-25,Brazil,AM,135205,4000,916,8
2020-09-26,Brazil,AM,136169,4022,964,22
2020-09-27,Brazil,AM,136416,4027,247,5
2020-09-28,Brazil,AM,136708,4031,292,4
2020-09-29,Brazil,AM,137964,4035,1256,4
2020-09-30,Brazil,AM,139326,4042,1362,7
2020-10-01,Brazil,AM,140240,4159,914,117
2020-10-02,Brazil,AM,141199,4162,959,3
2020-10-03,Brazil,AM,142137,4169,938,7
2020-10-04,Brazil,AM,142382,4176,245,7
2020-10-05,Brazil,AM,142573,4185,191,9
2020-10-06,Brazil,AM,143571,4193,998,8
2020-10-07,Brazil,AM,144492,4202,921,9
2020-10-08,Brazil,AM,145367,4215,875,13
2020-10-09,Brazil,AM,146233,4223,866,8
2020-10-10,Brazil,AM,147038,4235,805,12
2020-10-11,Brazil,AM,147457,4239,419,4
