date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,AP,0,0,0,0
2020-02-26,Brazil,AP,0,0,0,0
2020-02-27,Brazil,AP,0,0,0,0
2020-02-28,Brazil,AP,0,0,0,0
2020-02-29,Brazil,AP,0,0,0,0
2020-03-01,Brazil,AP,0,0,0,0
2020-03-02,Brazil,AP,0,0,0,0
2020-03-03,Brazil,AP,0,0,0,0
2020-03-04,Brazil,AP,0,0,0,0
2020-03-05,Brazil,AP,0,0,0,0
2020-03-06,Brazil,AP,0,0,0,0
2020-03-07,Brazil,AP,0,0,0,0
2020-03-08,Brazil,AP,0,0,0,0
2020-03-09,Brazil,AP,0,0,0,0
2020-03-10,Brazil,AP,0,0,0,0
2020-03-11,Brazil,AP,0,0,0,0
2020-03-12,Brazil,AP,0,0,0,0
2020-03-13,Brazil,AP,0,0,0,0
2020-03-14,Brazil,AP,0,0,0,0
2020-03-15,Brazil,AP,0,0,0,0
2020-03-16,Brazil,AP,0,0,0,0
2020-03-17,Brazil,AP,0,0,0,0
2020-03-18,Brazil,AP,0,0,0,0
2020-03-19,Brazil,AP,0,0,0,0
2020-03-20,Brazil,AP,1,0,1,0
2020-03-21,Brazil,AP,1,0,0,0
2020-03-22,Brazil,AP,1,0,0,0
2020-03-23,Brazil,AP,1,0,0,0
2020-03-24,Brazil,AP,1,0,0,0
2020-03-25,Brazil,AP,2,0,1,0
2020-03-26,Brazil,AP,2,0,0,0
2020-03-27,Brazil,AP,3,0,1,0
2020-03-28,Brazil,AP,4,0,1,0
2020-03-29,Brazil,AP,8,0,4,0
2020-03-30,Brazil,AP,8,0,0,0
2020-03-31,Brazil,AP,10,0,2,0
2020-04-01,Brazil,AP,11,0,1,0
2020-04-02,Brazil,AP,12,0,1,0
2020-04-03,Brazil,AP,19,0,7,0
2020-04-04,Brazil,AP,29,1,10,1
2020-04-05,Brazil,AP,32,1,3,0
2020-04-06,Brazil,AP,39,2,7,1
2020-04-07,Brazil,AP,51,2,12,0
2020-04-08,Brazil,AP,107,2,56,0
2020-04-09,Brazil,AP,110,2,3,0
