date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,BA,0,0,0,0
2020-02-26,Brazil,BA,0,0,0,0
2020-02-27,Brazil,BA,0,0,0,0
2020-02-28,Brazil,BA,0,0,0,0
2020-02-29,Brazil,BA,0,0,0,0
2020-03-01,Brazil,BA,0,0,0,0
2020-03-02,Brazil,BA,0,0,0,0
2020-03-03,Brazil,BA,0,0,0,0
2020-03-04,Brazil,BA,0,0,0,0
2020-03-05,Brazil,BA,0,0,0,0
2020-03-06,Brazil,BA,1,0,1,0
2020-03-07,Brazil,BA,2,0,1,0
2020-03-08,Brazil,BA,2,0,0,0
2020-03-09,Brazil,BA,2,0,0,0
2020-03-10,Brazil,BA,2,0,0,0
2020-03-11,Brazil,BA,3,0,1,0
2020-03-12,Brazil,BA,3,0,0,0
2020-03-13,Brazil,BA,7,0,4,0
2020-03-14,Brazil,BA,7,0,0,0
2020-03-15,Brazil,BA,9,0,2,0
2020-03-16,Brazil,BA,10,0,1,0
2020-03-17,Brazil,BA,14,0,4,0
2020-03-18,Brazil,BA,27,0,13,0
2020-03-19,Brazil,BA,31,0,4,0
2020-03-20,Brazil,BA,34,0,3,0
2020-03-21,Brazil,BA,41,0,7,0
2020-03-22,Brazil,BA,55,0,14,0
2020-03-23,Brazil,BA,63,0,8,0
2020-03-24,Brazil,BA,79,0,16,0
2020-03-25,Brazil,BA,91,0,12,0
2020-03-26,Brazil,BA,108,0,17,0
2020-03-27,Brazil,BA,123,0,15,0
2020-03-28,Brazil,BA,127,0,4,0
2020-03-29,Brazil,BA,156,1,29,1
2020-03-30,Brazil,BA,176,2,20,1
2020-03-31,Brazil,BA,217,2,41,0
2020-04-01,Brazil,BA,246,2,29,0
2020-04-02,Brazil,BA,267,3,21,1
2020-04-03,Brazil,BA,290,6,23,3
2020-04-04,Brazil,BA,336,7,46,1
2020-04-05,Brazil,BA,401,9,65,2
2020-04-06,Brazil,BA,437,10,36,1
2020-04-07,Brazil,BA,462,14,25,4
2020-04-08,Brazil,BA,515,18,53,4
2020-04-09,Brazil,BA,568,19,53,1
2020-04-10,Brazil,BA,616,19,48,0
2020-04-11,Brazil,BA,640,21,24,2
2020-04-12,Brazil,BA,674,21,34,0
2020-04-13,Brazil,BA,723,22,49,1
2020-04-14,Brazil,BA,776,26,53,4
2020-04-15,Brazil,BA,884,28,108,2
2020-04-16,Brazil,BA,967,34,83,6
2020-04-17,Brazil,BA,1064,36,97,2
2020-04-18,Brazil,BA,1200,40,136,4
2020-04-19,Brazil,BA,1249,45,49,5
2020-04-20,Brazil,BA,1377,47,128,2
2020-04-21,Brazil,BA,1504,48,127,1
2020-04-22,Brazil,BA,1645,53,141,5
2020-04-23,Brazil,BA,1845,62,200,9
2020-04-24,Brazil,BA,1979,67,134,5
2020-04-25,Brazil,BA,2116,72,137,5
2020-04-26,Brazil,BA,2248,74,132,2
2020-04-27,Brazil,BA,2356,83,108,9
2020-04-28,Brazil,BA,2564,93,208,10
2020-04-29,Brazil,BA,2676,100,112,7
2020-04-30,Brazil,BA,2867,106,191,6
2020-05-01,Brazil,BA,3140,117,273,11
2020-05-02,Brazil,BA,3315,123,175,6
2020-05-03,Brazil,BA,3566,128,251,5
2020-05-04,Brazil,BA,3734,141,168,13
2020-05-05,Brazil,BA,4040,146,306,5
2020-05-06,Brazil,BA,4301,160,261,14
2020-05-07,Brazil,BA,4528,165,227,5
2020-05-08,Brazil,BA,4818,183,290,18
2020-05-09,Brazil,BA,5174,196,356,13
2020-05-10,Brazil,BA,5558,202,384,6
2020-05-11,Brazil,BA,5808,214,250,12
2020-05-12,Brazil,BA,6204,225,396,11
2020-05-13,Brazil,BA,6547,236,343,11
2020-05-14,Brazil,BA,6955,262,408,26
2020-05-15,Brazil,BA,8128,281,1173,19
2020-05-16,Brazil,BA,8314,286,186,5
2020-05-17,Brazil,BA,8443,295,129,9
2020-05-18,Brazil,BA,8881,312,438,17
2020-05-19,Brazil,BA,11013,326,2132,14
2020-05-20,Brazil,BA,11197,362,184,36
2020-05-21,Brazil,BA,11941,376,744,14
2020-05-22,Brazil,BA,12557,399,616,23
