date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,CE,0,0,0,0
2020-02-26,Brazil,CE,0,0,0,0
2020-02-27,Brazil,CE,0,0,0,0
2020-02-28,Brazil,CE,0,0,0,0
2020-02-29,Brazil,CE,0,0,0,0
2020-03-01,Brazil,CE,0,0,0,0
2020-03-02,Brazil,CE,0,0,0,0
2020-03-03,Brazil,CE,0,0,0,0
2020-03-04,Brazil,CE,0,0,0,0
2020-03-05,Brazil,CE,0,0,0,0
2020-03-06,Brazil,CE,0,0,0,0
2020-03-07,Brazil,CE,0,0,0,0
2020-03-08,Brazil,CE,0,0,0,0
2020-03-09,Brazil,CE,0,0,0,0
2020-03-10,Brazil,CE,0,0,0,0
2020-03-11,Brazil,CE,0,0,0,0
2020-03-12,Brazil,CE,0,0,0,0
2020-03-13,Brazil,CE,0,0,0,0
2020-03-14,Brazil,CE,0,0,0,0
2020-03-15,Brazil,CE,0,0,0,0
2020-03-16,Brazil,CE,9,0,9,0
2020-03-17,Brazil,CE,10,0,1,0
2020-03-18,Brazil,CE,19,0,9,0
2020-03-19,Brazil,CE,24,0,5,0
2020-03-20,Brazil,CE,68,0,44,0
2020-03-21,Brazil,CE,84,0,16,0
2020-03-22,Brazil,CE,125,0,41,0
2020-03-23,Brazil,CE,164,0,39,0
2020-03-24,Brazil,CE,185,0,21,0
2020-03-25,Brazil,CE,211,0,26,0
2020-03-26,Brazil,CE,237,3,26,3
2020-03-27,Brazil,CE,282,3,45,0
2020-03-28,Brazil,CE,322,4,40,1
2020-03-29,Brazil,CE,359,5,37,1
2020-03-30,Brazil,CE,382,5,23,0
2020-03-31,Brazil,CE,401,7,19,2
2020-04-01,Brazil,CE,445,9,44,2
2020-04-02,Brazil,CE,563,21,118,12
2020-04-03,Brazil,CE,658,22,95,1
2020-04-04,Brazil,CE,745,23,87,1
2020-04-05,Brazil,CE,960,35,215,12
2020-04-06,Brazil,CE,1045,35,85,0
2020-04-07,Brazil,CE,1188,40,143,5
2020-04-08,Brazil,CE,1394,57,206,17
2020-04-09,Brazil,CE,1445,57,51,0
2020-04-10,Brazil,CE,1558,67,113,10
2020-04-11,Brazil,CE,1668,74,110,7
2020-04-12,Brazil,CE,1747,76,79,2
2020-04-13,Brazil,CE,1935,101,188,25
2020-04-14,Brazil,CE,2070,111,135,10
2020-04-15,Brazil,CE,2291,124,221,13
2020-04-16,Brazil,CE,2412,135,121,11
2020-04-17,Brazil,CE,2747,155,335,20
2020-04-18,Brazil,CE,3062,180,315,25
2020-04-19,Brazil,CE,3306,189,244,9
2020-04-20,Brazil,CE,3485,206,179,17
2020-04-21,Brazil,CE,3682,221,197,15
2020-04-22,Brazil,CE,4116,239,434,18
2020-04-23,Brazil,CE,4702,271,586,32
2020-04-24,Brazil,CE,5121,293,419,22
2020-04-25,Brazil,CE,5667,326,546,33
2020-04-26,Brazil,CE,6260,376,593,50
2020-04-27,Brazil,CE,6783,397,523,21
2020-04-28,Brazil,CE,6985,417,202,20
2020-04-29,Brazil,CE,7409,450,424,33
2020-04-30,Brazil,CE,7861,492,452,42
2020-05-01,Brazil,CE,8000,539,139,47
2020-05-02,Brazil,CE,8309,638,309,99
2020-05-03,Brazil,CE,8379,677,70,39
2020-05-04,Brazil,CE,11040,712,2661,35
2020-05-05,Brazil,CE,11470,795,430,83
2020-05-06,Brazil,CE,12310,849,840,54
2020-05-07,Brazil,CE,13888,903,1578,54
2020-05-08,Brazil,CE,15134,997,1246,94
2020-05-09,Brazil,CE,15879,1062,745,65
2020-05-10,Brazil,CE,16692,1114,813,52
2020-05-11,Brazil,CE,17599,1189,907,75
2020-05-12,Brazil,CE,18412,1280,813,91
2020-05-13,Brazil,CE,19156,1389,744,109
2020-05-14,Brazil,CE,21077,1413,1921,24
2020-05-15,Brazil,CE,23059,1566,1982,153
2020-05-16,Brazil,CE,23795,1614,736,48
2020-05-17,Brazil,CE,24255,1641,460,27
2020-05-18,Brazil,CE,26363,1748,2108,107
2020-05-19,Brazil,CE,28112,1856,1749,108
2020-05-20,Brazil,CE,30560,1900,2448,44
2020-05-21,Brazil,CE,31413,2161,853,261
2020-05-22,Brazil,CE,34573,2251,3160,90
2020-05-23,Brazil,CE,35122,2308,549,57
2020-05-24,Brazil,CE,35595,2324,473,16
2020-05-25,Brazil,CE,36185,2493,590,169
2020-05-26,Brazil,CE,37021,2603,836,110
2020-05-27,Brazil,CE,37275,2671,254,68
2020-05-28,Brazil,CE,37821,2733,546,62
2020-05-29,Brazil,CE,38395,2859,574,126
2020-05-30,Brazil,CE,47822,2956,9427,97
2020-05-31,Brazil,CE,48489,3010,667,54
2020-06-01,Brazil,CE,50504,3188,2015,178
2020-06-02,Brazil,CE,54683,3504,4179,316
2020-06-03,Brazil,CE,56056,3605,1373,101
2020-06-04,Brazil,CE,59795,3813,3739,208
2020-06-05,Brazil,CE,62176,3907,2381,94
2020-06-06,Brazil,CE,63575,3965,1399,58
2020-06-07,Brazil,CE,64271,3982,696,17
2020-06-08,Brazil,CE,66218,4192,1947,210
2020-06-09,Brazil,CE,69023,4359,2805,167
2020-06-10,Brazil,CE,71947,4519,2924,160
2020-06-11,Brazil,CE,74692,4708,2745,189
2020-06-12,Brazil,CE,75784,4812,1092,104
2020-06-13,Brazil,CE,76429,4829,645,17
2020-06-14,Brazil,CE,76833,4885,404,56
2020-06-15,Brazil,CE,79853,5041,3020,156
2020-06-16,Brazil,CE,82169,5192,2316,151
2020-06-17,Brazil,CE,85606,5307,3437,115
2020-06-18,Brazil,CE,88132,5393,2526,86
2020-06-19,Brazil,CE,90441,5497,2309,104
2020-06-20,Brazil,CE,92397,5520,1956,23
2020-06-21,Brazil,CE,92866,5523,469,3
2020-06-22,Brazil,CE,94708,5618,1842,95
2020-06-23,Brazil,CE,98055,5728,3347,110
2020-06-24,Brazil,CE,99578,5815,1523,87
2020-06-25,Brazil,CE,103118,5895,3540,80
2020-06-26,Brazil,CE,105270,5962,2152,67
2020-06-27,Brazil,CE,107064,5987,1794,25
