date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,DF,0,0,0,0
2020-02-26,Brazil,DF,0,0,0,0
2020-02-27,Brazil,DF,0,0,0,0
2020-02-28,Brazil,DF,0,0,0,0
2020-02-29,Brazil,DF,0,0,0,0
2020-03-01,Brazil,DF,0,0,0,0
2020-03-02,Brazil,DF,0,0,0,0
2020-03-03,Brazil,DF,0,0,0,0
2020-03-04,Brazil,DF,0,0,0,0
2020-03-05,Brazil,DF,0,0,0,0
2020-03-06,Brazil,DF,0,0,0,0
2020-03-07,Brazil,DF,1,0,1,0
2020-03-08,Brazil,DF,1,0,0,0
2020-03-09,Brazil,DF,1,0,0,0
2020-03-10,Brazil,DF,1,0,0,0
2020-03-11,Brazil,DF,2,0,1,0
2020-03-12,Brazil,DF,2,0,0,0
2020-03-13,Brazil,DF,2,0,0,0
2020-03-14,Brazil,DF,8,0,6,0
2020-03-15,Brazil,DF,14,0,6,0
2020-03-16,Brazil,DF,19,0,5,0
2020-03-17,Brazil,DF,19,0,0,0
2020-03-18,Brazil,DF,34,0,15,0
2020-03-19,Brazil,DF,42,0,8,0
2020-03-20,Brazil,DF,87,0,45,0
2020-03-21,Brazil,DF,108,0,21,0
2020-03-22,Brazil,DF,117,0,9,0
2020-03-23,Brazil,DF,138,0,21,0
2020-03-24,Brazil,DF,161,0,23,0
2020-03-25,Brazil,DF,195,0,34,0
2020-03-26,Brazil,DF,201,0,6,0
2020-03-27,Brazil,DF,241,0,40,0
2020-03-28,Brazil,DF,260,0,19,0
2020-03-29,Brazil,DF,298,1,38,1
2020-03-30,Brazil,DF,312,2,14,1
2020-03-31,Brazil,DF,333,3,21,1
2020-04-01,Brazil,DF,370,4,37,1
2020-04-02,Brazil,DF,400,5,30,1
2020-04-03,Brazil,DF,419,6,19,1
2020-04-04,Brazil,DF,456,7,37,1
2020-04-05,Brazil,DF,468,7,12,0
2020-04-06,Brazil,DF,485,10,17,3
2020-04-07,Brazil,DF,503,12,18,2
2020-04-08,Brazil,DF,509,12,6,0
2020-04-09,Brazil,DF,527,13,18,1
2020-04-10,Brazil,DF,556,14,29,1
2020-04-11,Brazil,DF,592,14,36,0
2020-04-12,Brazil,DF,618,14,26,0
2020-04-13,Brazil,DF,641,15,23,1
2020-04-14,Brazil,DF,651,17,10,2
2020-04-15,Brazil,DF,688,17,37,0
2020-04-16,Brazil,DF,727,20,39,3
2020-04-17,Brazil,DF,756,24,29,4
2020-04-18,Brazil,DF,796,24,40,0
2020-04-19,Brazil,DF,860,24,64,0
2020-04-20,Brazil,DF,875,24,15,0
2020-04-21,Brazil,DF,913,24,38,0
2020-04-22,Brazil,DF,959,25,46,1
2020-04-23,Brazil,DF,968,26,9,1
2020-04-24,Brazil,DF,1012,26,44,0
2020-04-25,Brazil,DF,1020,27,8,1
2020-04-26,Brazil,DF,1125,27,105,0
2020-04-27,Brazil,DF,1189,28,64,1
2020-04-28,Brazil,DF,1230,28,41,0
2020-04-29,Brazil,DF,1313,28,83,0
2020-04-30,Brazil,DF,1423,30,110,2
2020-05-01,Brazil,DF,1546,31,123,1
2020-05-02,Brazil,DF,1605,32,59,1
2020-05-03,Brazil,DF,1720,33,115,1
2020-05-04,Brazil,DF,1793,33,73,0
2020-05-05,Brazil,DF,1837,34,44,1
