date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,ES,0,0,0,0
2020-02-26,Brazil,ES,0,0,0,0
2020-02-27,Brazil,ES,0,0,0,0
2020-02-28,Brazil,ES,0,0,0,0
2020-02-29,Brazil,ES,0,0,0,0
2020-03-01,Brazil,ES,0,0,0,0
2020-03-02,Brazil,ES,0,0,0,0
2020-03-03,Brazil,ES,0,0,0,0
2020-03-04,Brazil,ES,0,0,0,0
2020-03-05,Brazil,ES,1,0,1,0
2020-03-06,Brazil,ES,1,0,0,0
2020-03-07,Brazil,ES,1,0,0,0
2020-03-08,Brazil,ES,1,0,0,0
2020-03-09,Brazil,ES,1,0,0,0
2020-03-10,Brazil,ES,1,0,0,0
2020-03-11,Brazil,ES,1,0,0,0
2020-03-12,Brazil,ES,2,0,1,0
2020-03-13,Brazil,ES,2,0,0,0
2020-03-14,Brazil,ES,4,0,2,0
2020-03-15,Brazil,ES,4,0,0,0
2020-03-16,Brazil,ES,8,0,4,0
2020-03-17,Brazil,ES,8,0,0,0
2020-03-18,Brazil,ES,11,0,3,0
2020-03-19,Brazil,ES,13,0,2,0
2020-03-20,Brazil,ES,16,0,3,0
2020-03-21,Brazil,ES,26,0,10,0
2020-03-22,Brazil,ES,26,0,0,0
2020-03-23,Brazil,ES,33,0,7,0
2020-03-24,Brazil,ES,40,0,7,0
2020-03-25,Brazil,ES,40,0,0,0
2020-03-26,Brazil,ES,48,0,8,0
2020-03-27,Brazil,ES,54,0,6,0
2020-03-28,Brazil,ES,61,0,7,0
2020-03-29,Brazil,ES,72,0,11,0
2020-03-30,Brazil,ES,85,0,13,0
2020-03-31,Brazil,ES,97,0,12,0
2020-04-01,Brazil,ES,120,0,23,0
2020-04-02,Brazil,ES,139,2,19,2
2020-04-03,Brazil,ES,153,5,14,3
2020-04-04,Brazil,ES,166,6,13,1
2020-04-05,Brazil,ES,194,6,28,0
2020-04-06,Brazil,ES,209,6,15,0
2020-04-07,Brazil,ES,227,6,18,0
2020-04-08,Brazil,ES,273,6,46,0
2020-04-09,Brazil,ES,300,7,27,1
2020-04-10,Brazil,ES,349,8,49,1
2020-04-11,Brazil,ES,383,9,34,1
2020-04-12,Brazil,ES,430,14,47,5
2020-04-13,Brazil,ES,463,17,33,3
2020-04-14,Brazil,ES,557,18,94,1
2020-04-15,Brazil,ES,734,21,177,3
2020-04-16,Brazil,ES,935,28,201,7
2020-04-17,Brazil,ES,952,28,17,0
2020-04-18,Brazil,ES,1099,30,147,2
2020-04-19,Brazil,ES,1195,34,96,4
2020-04-20,Brazil,ES,1212,34,17,0
2020-04-21,Brazil,ES,1313,34,101,0
2020-04-22,Brazil,ES,1351,37,38,3
2020-04-23,Brazil,ES,1453,43,102,6
2020-04-24,Brazil,ES,1665,47,212,4
2020-04-25,Brazil,ES,1711,52,46,5
2020-04-26,Brazil,ES,1819,57,108,5
2020-04-27,Brazil,ES,1944,63,125,6
2020-04-28,Brazil,ES,2164,77,220,14
2020-04-29,Brazil,ES,2538,84,374,7
2020-04-30,Brazil,ES,2688,93,150,9
2020-05-01,Brazil,ES,2913,101,225,8
2020-05-02,Brazil,ES,3104,104,191,3
2020-05-03,Brazil,ES,3208,115,104,11
2020-05-04,Brazil,ES,3351,123,143,8
2020-05-05,Brazil,ES,3540,133,189,10
2020-05-06,Brazil,ES,3714,146,174,13
2020-05-07,Brazil,ES,3988,157,274,11
2020-05-08,Brazil,ES,4242,165,254,8
2020-05-09,Brazil,ES,4412,172,170,7
2020-05-10,Brazil,ES,4599,181,187,9
2020-05-11,Brazil,ES,4819,196,220,15
2020-05-12,Brazil,ES,5087,212,268,16
2020-05-13,Brazil,ES,5401,233,314,21
2020-05-14,Brazil,ES,5813,249,412,16
2020-05-15,Brazil,ES,6198,260,385,11
2020-05-16,Brazil,ES,6595,271,397,11
2020-05-17,Brazil,ES,6744,285,149,14
2020-05-18,Brazil,ES,7157,302,413,17
2020-05-19,Brazil,ES,7693,325,536,23
2020-05-20,Brazil,ES,8495,346,802,21
2020-05-21,Brazil,ES,8878,363,383,17
2020-05-22,Brazil,ES,9520,397,642,34
2020-05-23,Brazil,ES,9918,417,398,20
2020-05-24,Brazil,ES,10007,447,89,30
2020-05-25,Brazil,ES,10365,465,358,18
2020-05-26,Brazil,ES,10889,487,524,22
2020-05-27,Brazil,ES,11484,511,595,24
2020-05-28,Brazil,ES,12203,538,719,27
2020-05-29,Brazil,ES,12903,560,700,22
2020-05-30,Brazil,ES,13437,583,534,23
2020-05-31,Brazil,ES,13690,604,253,21
2020-06-01,Brazil,ES,14285,628,595,24
2020-06-02,Brazil,ES,15151,664,866,36
2020-06-03,Brazil,ES,16121,698,970,34
2020-06-04,Brazil,ES,16894,737,773,39
2020-06-05,Brazil,ES,18109,780,1215,43
2020-06-06,Brazil,ES,18950,806,841,26
2020-06-07,Brazil,ES,19619,832,669,26
2020-06-08,Brazil,ES,20659,871,1040,39
2020-06-09,Brazil,ES,21964,904,1305,33
2020-06-10,Brazil,ES,23391,937,1427,33
2020-06-11,Brazil,ES,24428,966,1037,29
2020-06-12,Brazil,ES,25502,999,1074,33
2020-06-13,Brazil,ES,26011,1028,509,29
2020-06-14,Brazil,ES,26469,1055,458,27
2020-06-15,Brazil,ES,27652,1087,1183,32
2020-06-16,Brazil,ES,29030,1132,1378,45
2020-06-17,Brazil,ES,30507,1179,1477,47
2020-06-18,Brazil,ES,31772,1223,1265,44
2020-06-19,Brazil,ES,33232,1267,1460,44
2020-06-20,Brazil,ES,34238,1297,1006,30
2020-06-21,Brazil,ES,34866,1328,628,31
2020-06-22,Brazil,ES,36147,1387,1281,59
2020-06-23,Brazil,ES,36827,1425,680,38
2020-06-24,Brazil,ES,38483,1463,1656,38
2020-06-25,Brazil,ES,40406,1490,1923,27
2020-06-26,Brazil,ES,41652,1507,1246,17
2020-06-27,Brazil,ES,41652,1507,0,0
2020-06-28,Brazil,ES,43683,1566,2031,59
2020-06-29,Brazil,ES,45097,1620,1414,54
2020-06-30,Brazil,ES,46893,1647,1796,27
2020-07-01,Brazil,ES,48821,1692,1928,45
2020-07-02,Brazil,ES,50242,1727,1421,35
2020-07-03,Brazil,ES,51689,1758,1447,31
2020-07-04,Brazil,ES,52824,1781,1135,23
2020-07-05,Brazil,ES,53393,1803,569,22
2020-07-06,Brazil,ES,54547,1836,1154,33
2020-07-07,Brazil,ES,56703,1879,2156,43
2020-07-08,Brazil,ES,58841,1912,2138,33
2020-07-09,Brazil,ES,60009,1929,1168,17
2020-07-10,Brazil,ES,61361,1967,1352,38
2020-07-11,Brazil,ES,62393,1995,1032,28
2020-07-12,Brazil,ES,62873,2010,480,15
2020-07-13,Brazil,ES,63881,2040,1008,30
2020-07-14,Brazil,ES,65213,2082,1332,42
2020-07-15,Brazil,ES,66352,2096,1139,14
2020-07-16,Brazil,ES,68118,2136,1766,40
2020-07-17,Brazil,ES,69463,2174,1345,38
2020-07-18,Brazil,ES,70131,2202,668,28
2020-07-19,Brazil,ES,70609,2222,478,20
2020-07-20,Brazil,ES,71703,2256,1094,34
2020-07-21,Brazil,ES,72605,2280,902,24
2020-07-22,Brazil,ES,73755,2308,1150,28
2020-07-23,Brazil,ES,74610,2341,855,33
2020-07-24,Brazil,ES,75854,2373,1244,32
2020-07-25,Brazil,ES,76598,2386,744,13
2020-07-26,Brazil,ES,77201,2411,603,25
2020-07-27,Brazil,ES,78180,2437,979,26
2020-07-28,Brazil,ES,79468,2462,1288,25
2020-07-29,Brazil,ES,80647,2490,1179,28
2020-07-30,Brazil,ES,81886,2514,1239,24
2020-07-31,Brazil,ES,83292,2544,1406,30
2020-08-01,Brazil,ES,83814,2565,522,21
2020-08-02,Brazil,ES,84255,2578,441,13
2020-08-03,Brazil,ES,85215,2600,960,22
2020-08-04,Brazil,ES,86209,2627,994,27
2020-08-05,Brazil,ES,87243,2646,1034,19
2020-08-06,Brazil,ES,88543,2666,1300,20
2020-08-07,Brazil,ES,89923,2698,1380,32
2020-08-08,Brazil,ES,91146,2720,1223,22
2020-08-09,Brazil,ES,91791,2735,645,15
2020-08-10,Brazil,ES,93069,2764,1278,29
2020-08-11,Brazil,ES,94478,2783,1409,19
2020-08-12,Brazil,ES,95753,2804,1275,21
2020-08-13,Brazil,ES,96949,2823,1196,19
2020-08-14,Brazil,ES,98106,2849,1157,26
2020-08-15,Brazil,ES,98765,2863,659,14
2020-08-16,Brazil,ES,99580,2874,815,11
2020-08-17,Brazil,ES,100859,2907,1279,33
2020-08-18,Brazil,ES,101874,2937,1015,30
2020-08-19,Brazil,ES,103090,2963,1216,26
2020-08-20,Brazil,ES,104169,2979,1079,16
2020-08-21,Brazil,ES,104988,3002,819,23
2020-08-22,Brazil,ES,105633,3015,645,13
2020-08-23,Brazil,ES,105888,3026,255,11
2020-08-24,Brazil,ES,106494,3045,606,19
2020-08-25,Brazil,ES,107191,3068,697,23
2020-08-26,Brazil,ES,107909,3086,718,18
2020-08-27,Brazil,ES,108662,3105,753,19
2020-08-28,Brazil,ES,109493,3117,831,12
2020-08-29,Brazil,ES,110025,3129,532,12
2020-08-30,Brazil,ES,110351,3135,326,6
2020-08-31,Brazil,ES,111263,3158,912,23
2020-09-01,Brazil,ES,112072,3184,809,26
2020-09-02,Brazil,ES,112827,3204,755,20
2020-09-03,Brazil,ES,113759,3221,932,17
2020-09-04,Brazil,ES,114700,3235,941,14
2020-09-05,Brazil,ES,115172,3242,472,7
2020-09-06,Brazil,ES,115172,3242,0,0
2020-09-07,Brazil,ES,115793,3268,621,26
2020-09-08,Brazil,ES,116578,3286,785,18
2020-09-09,Brazil,ES,117270,3298,692,12
2020-09-10,Brazil,ES,118138,3314,868,16
2020-09-11,Brazil,ES,118814,3332,676,18
2020-09-12,Brazil,ES,119354,3338,540,6
2020-09-13,Brazil,ES,119548,3346,194,8
2020-09-14,Brazil,ES,120252,3359,704,13
2020-09-15,Brazil,ES,120974,3376,722,17
2020-09-16,Brazil,ES,121710,3388,736,12
2020-09-17,Brazil,ES,122471,3399,761,11
2020-09-18,Brazil,ES,123273,3404,802,5
2020-09-19,Brazil,ES,123720,3408,447,4
2020-09-20,Brazil,ES,124291,3422,571,14
2020-09-21,Brazil,ES,125185,3432,894,10
2020-09-22,Brazil,ES,125871,3444,686,12
2020-09-23,Brazil,ES,126606,3452,735,8
2020-09-24,Brazil,ES,127368,3459,762,7
2020-09-25,Brazil,ES,128265,3485,897,26
2020-09-26,Brazil,ES,128722,3492,457,7
2020-09-27,Brazil,ES,129192,3504,470,12
2020-09-28,Brazil,ES,129796,3524,604,20
2020-09-29,Brazil,ES,130714,3538,918,14
2020-09-30,Brazil,ES,131490,3545,776,7
2020-10-01,Brazil,ES,132350,3551,860,6
2020-10-02,Brazil,ES,133025,3564,675,13
2020-10-03,Brazil,ES,133744,3572,719,8
2020-10-04,Brazil,ES,134296,3580,552,8
2020-10-05,Brazil,ES,135001,3594,705,14
2020-10-06,Brazil,ES,135850,3604,849,10
2020-10-07,Brazil,ES,136590,3617,740,13
2020-10-08,Brazil,ES,137330,3628,740,11
2020-10-09,Brazil,ES,138099,3640,769,12
2020-10-10,Brazil,ES,138462,3646,363,6
2020-10-11,Brazil,ES,138933,3650,471,4
2020-10-12,Brazil,ES,139755,3659,822,9
2020-10-13,Brazil,ES,140701,3680,946,21
2020-10-14,Brazil,ES,141548,3689,847,9
2020-10-15,Brazil,ES,142419,3694,871,5
2020-10-16,Brazil,ES,143093,3704,674,10
2020-10-17,Brazil,ES,143954,3709,861,5
2020-10-18,Brazil,ES,144415,3713,461,4
2020-10-19,Brazil,ES,145415,3728,1000,15
2020-10-20,Brazil,ES,146233,3740,818,12
2020-10-21,Brazil,ES,147395,3755,1162,15
2020-10-22,Brazil,ES,148055,3767,660,12
2020-10-23,Brazil,ES,149149,3773,1094,6
2020-10-24,Brazil,ES,149654,3780,505,7
2020-10-25,Brazil,ES,150317,3787,663,7
2020-10-26,Brazil,ES,151276,3799,959,12
2020-10-27,Brazil,ES,152216,3817,940,18
2020-10-28,Brazil,ES,153004,3826,788,9
2020-10-29,Brazil,ES,154131,3841,1127,15
2020-10-30,Brazil,ES,154736,3847,605,6
2020-10-31,Brazil,ES,155721,3855,985,8
2020-11-01,Brazil,ES,156018,3862,297,7
2020-11-02,Brazil,ES,156681,3863,663,1
2020-11-03,Brazil,ES,157750,3876,1069,13
2020-11-04,Brazil,ES,158768,3884,1018,8
2020-11-05,Brazil,ES,159813,3896,1045,12
2020-11-06,Brazil,ES,160890,3910,1077,14
2020-11-07,Brazil,ES,161208,3919,318,9
2020-11-08,Brazil,ES,162428,3926,1220,7
2020-11-09,Brazil,ES,163072,3938,644,12
2020-11-10,Brazil,ES,164659,3953,1587,15
2020-11-11,Brazil,ES,165688,3969,1029,16
2020-11-12,Brazil,ES,166999,3982,1311,13
2020-11-13,Brazil,ES,168358,3993,1359,11
2020-11-14,Brazil,ES,168839,3998,481,5
2020-11-15,Brazil,ES,169928,4009,1089,11
2020-11-16,Brazil,ES,171237,4030,1309,21
2020-11-17,Brazil,ES,172924,4037,1687,7
2020-11-18,Brazil,ES,174238,4058,1314,21
2020-11-19,Brazil,ES,175300,4082,1062,24
2020-11-20,Brazil,ES,176903,4101,1603,19
2020-11-21,Brazil,ES,177486,4114,583,13
2020-11-22,Brazil,ES,178159,4128,673,14
2020-11-23,Brazil,ES,179517,4149,1358,21
2020-11-24,Brazil,ES,181306,4172,1789,23
2020-11-25,Brazil,ES,182855,4186,1549,14
2020-11-26,Brazil,ES,184801,4207,1946,21
2020-11-27,Brazil,ES,186574,4224,1773,17
2020-11-28,Brazil,ES,188342,4245,1768,21
2020-11-29,Brazil,ES,188929,4252,587,7
2020-11-30,Brazil,ES,190001,4279,1072,27
2020-12-01,Brazil,ES,191973,4296,1972,17
2020-12-02,Brazil,ES,193825,4322,1852,26
2020-12-03,Brazil,ES,195437,4349,1612,27
2020-12-04,Brazil,ES,197104,4373,1667,24
2020-12-05,Brazil,ES,198947,4385,1843,12
2020-12-06,Brazil,ES,200257,4397,1310,12
2020-12-07,Brazil,ES,202147,4431,1890,34
2020-12-08,Brazil,ES,204565,4455,2418,24
2020-12-09,Brazil,ES,206984,4485,2419,30
2020-12-10,Brazil,ES,208508,4514,1524,29
2020-12-11,Brazil,ES,210584,4543,2076,29
2020-12-12,Brazil,ES,212304,4560,1720,17
2020-12-13,Brazil,ES,213124,4571,820,11
2020-12-14,Brazil,ES,215538,4609,2414,38
2020-12-15,Brazil,ES,217938,4630,2400,21
2020-12-16,Brazil,ES,220927,4663,2989,33
2020-12-17,Brazil,ES,223219,4696,2292,33
2020-12-18,Brazil,ES,225358,4727,2139,31
2020-12-19,Brazil,ES,227245,4747,1887,20
2020-12-20,Brazil,ES,228741,4759,1496,12
2020-12-21,Brazil,ES,230420,4796,1679,37
2020-12-22,Brazil,ES,232760,4839,2340,43
2020-12-23,Brazil,ES,234494,4866,1734,27
2020-12-24,Brazil,ES,236238,4898,1744,32
2020-12-25,Brazil,ES,236978,4915,740,17
2020-12-26,Brazil,ES,238426,4928,1448,13
2020-12-27,Brazil,ES,239036,4941,610,13
2020-12-28,Brazil,ES,242553,4996,3517,55
2020-12-29,Brazil,ES,244251,5031,1698,35
2020-12-30,Brazil,ES,246927,5066,2676,35
2020-12-31,Brazil,ES,248251,5081,1324,15
2021-01-01,Brazil,ES,249271,5093,1020,12
2021-01-02,Brazil,ES,250244,5115,973,22
2021-01-03,Brazil,ES,251649,5124,1405,9
