date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,GO,0,0,0,0
2020-02-26,Brazil,GO,0,0,0,0
2020-02-27,Brazil,GO,0,0,0,0
2020-02-28,Brazil,GO,0,0,0,0
2020-02-29,Brazil,GO,0,0,0,0
2020-03-01,Brazil,GO,0,0,0,0
2020-03-02,Brazil,GO,0,0,0,0
2020-03-03,Brazil,GO,0,0,0,0
2020-03-04,Brazil,GO,0,0,0,0
2020-03-05,Brazil,GO,0,0,0,0
2020-03-06,Brazil,GO,0,0,0,0
2020-03-07,Brazil,GO,0,0,0,0
2020-03-08,Brazil,GO,0,0,0,0
2020-03-09,Brazil,GO,0,0,0,0
2020-03-10,Brazil,GO,0,0,0,0
2020-03-11,Brazil,GO,0,0,0,0
2020-03-12,Brazil,GO,3,0,3,0
2020-03-13,Brazil,GO,3,0,0,0
2020-03-14,Brazil,GO,4,0,1,0
2020-03-15,Brazil,GO,4,0,0,0
2020-03-16,Brazil,GO,9,0,5,0
2020-03-17,Brazil,GO,10,0,1,0
2020-03-18,Brazil,GO,12,0,2,0
2020-03-19,Brazil,GO,15,0,3,0
2020-03-20,Brazil,GO,18,0,3,0
2020-03-21,Brazil,GO,19,0,1,0
2020-03-22,Brazil,GO,21,0,2,0
2020-03-23,Brazil,GO,23,0,2,0
2020-03-24,Brazil,GO,29,0,6,0
2020-03-25,Brazil,GO,35,0,6,0
2020-03-26,Brazil,GO,38,1,3,1
2020-03-27,Brazil,GO,49,1,11,0
2020-03-28,Brazil,GO,56,1,7,0
2020-03-29,Brazil,GO,56,1,0,0
2020-03-30,Brazil,GO,60,1,4,0
2020-03-31,Brazil,GO,65,1,5,0
2020-04-01,Brazil,GO,73,1,8,0
2020-04-02,Brazil,GO,73,1,0,0
2020-04-03,Brazil,GO,88,2,15,1
2020-04-04,Brazil,GO,103,2,15,0
2020-04-05,Brazil,GO,115,3,12,1
2020-04-06,Brazil,GO,119,5,4,2
2020-04-07,Brazil,GO,133,5,14,0
2020-04-08,Brazil,GO,159,7,26,2
2020-04-09,Brazil,GO,179,7,20,0
2020-04-10,Brazil,GO,191,8,12,1
2020-04-11,Brazil,GO,209,10,18,2
2020-04-12,Brazil,GO,229,14,20,4
2020-04-13,Brazil,GO,233,15,4,1
2020-04-14,Brazil,GO,284,15,51,0
2020-04-15,Brazil,GO,304,15,20,0
2020-04-16,Brazil,GO,318,16,14,1
2020-04-17,Brazil,GO,335,16,17,0
2020-04-18,Brazil,GO,378,18,43,2
2020-04-19,Brazil,GO,393,18,15,0
2020-04-20,Brazil,GO,403,19,10,1
2020-04-21,Brazil,GO,421,19,18,0
2020-04-22,Brazil,GO,438,21,17,2
2020-04-23,Brazil,GO,453,23,15,2
2020-04-24,Brazil,GO,486,24,33,1
2020-04-25,Brazil,GO,506,25,20,1
2020-04-26,Brazil,GO,573,25,67,0
2020-04-27,Brazil,GO,616,26,43,1
2020-04-28,Brazil,GO,661,27,45,1
2020-04-29,Brazil,GO,705,27,44,0
2020-04-30,Brazil,GO,781,29,76,2
2020-05-01,Brazil,GO,808,29,27,0
2020-05-02,Brazil,GO,825,30,17,1
2020-05-03,Brazil,GO,850,30,25,0
2020-05-04,Brazil,GO,861,30,11,0
2020-05-05,Brazil,GO,922,38,61,8
2020-05-06,Brazil,GO,1024,45,102,7
2020-05-07,Brazil,GO,1027,44,3,-1
2020-05-08,Brazil,GO,1053,49,26,5
2020-05-09,Brazil,GO,1069,47,16,-2
2020-05-10,Brazil,GO,1093,47,24,0
2020-05-11,Brazil,GO,1100,49,7,2
2020-05-12,Brazil,GO,1115,52,15,3
2020-05-13,Brazil,GO,1225,61,110,9
2020-05-14,Brazil,GO,1460,67,235,6
2020-05-15,Brazil,GO,1605,67,145,0
2020-05-16,Brazil,GO,1652,69,47,2
2020-05-17,Brazil,GO,1692,70,40,1
2020-05-18,Brazil,GO,1781,73,89,3
2020-05-19,Brazil,GO,1880,73,99,0
2020-05-20,Brazil,GO,2049,78,169,5
2020-05-21,Brazil,GO,2155,85,106,7
2020-05-22,Brazil,GO,2344,95,189,10
2020-05-23,Brazil,GO,2435,95,91,0
2020-05-24,Brazil,GO,2488,95,53,0
2020-05-25,Brazil,GO,2515,96,27,1
2020-05-26,Brazil,GO,2706,104,191,8
2020-05-27,Brazil,GO,2906,108,200,4
2020-05-28,Brazil,GO,3101,115,195,7
2020-05-29,Brazil,GO,3521,119,420,4
2020-05-30,Brazil,GO,3609,124,88,5
2020-05-31,Brazil,GO,3726,124,117,0
2020-06-01,Brazil,GO,4017,127,291,3
2020-06-02,Brazil,GO,4486,155,469,28
2020-06-03,Brazil,GO,4701,159,215,4
2020-06-04,Brazil,GO,5102,164,401,5
2020-06-05,Brazil,GO,5605,167,503,3
2020-06-06,Brazil,GO,5770,172,165,5
2020-06-07,Brazil,GO,5857,173,87,1
2020-06-08,Brazil,GO,6302,173,445,0
2020-06-09,Brazil,GO,6936,184,634,11
2020-06-10,Brazil,GO,7380,189,444,5
2020-06-11,Brazil,GO,7774,194,394,5
2020-06-12,Brazil,GO,7926,206,152,12
2020-06-13,Brazil,GO,7941,211,15,5
2020-06-14,Brazil,GO,7960,216,19,5
2020-06-15,Brazil,GO,10441,238,2481,22
2020-06-16,Brazil,GO,11836,249,1395,11
2020-06-17,Brazil,GO,12776,255,940,6
2020-06-18,Brazil,GO,13665,275,889,20
2020-06-19,Brazil,GO,14540,289,875,14
2020-06-20,Brazil,GO,15450,295,910,6
2020-06-21,Brazil,GO,15904,306,454,11
2020-06-22,Brazil,GO,17085,324,1181,18
2020-06-23,Brazil,GO,18014,355,929,31
2020-06-24,Brazil,GO,19280,375,1266,20
2020-06-25,Brazil,GO,20377,384,1097,9
2020-06-26,Brazil,GO,21441,425,1064,41
2020-06-27,Brazil,GO,21865,434,424,9
2020-06-28,Brazil,GO,22165,436,300,2
2020-06-29,Brazil,GO,23379,467,1214,31
2020-06-30,Brazil,GO,24910,491,1531,24
2020-07-01,Brazil,GO,26145,521,1235,30
2020-07-02,Brazil,GO,26318,572,173,51
2020-07-03,Brazil,GO,27502,602,1184,30
2020-07-04,Brazil,GO,28526,621,1024,19
2020-07-05,Brazil,GO,28526,621,0,0
2020-07-06,Brazil,GO,30187,654,1661,33
2020-07-07,Brazil,GO,32001,726,1814,72
2020-07-08,Brazil,GO,33367,748,1366,22
2020-07-09,Brazil,GO,34627,795,1260,47
2020-07-10,Brazil,GO,35706,835,1079,40
2020-07-11,Brazil,GO,36273,847,567,12
2020-07-12,Brazil,GO,36556,851,283,4
2020-07-13,Brazil,GO,37333,880,777,29
2020-07-14,Brazil,GO,38299,910,966,30
2020-07-15,Brazil,GO,39474,959,1175,49
2020-07-16,Brazil,GO,40544,1018,1070,59
2020-07-17,Brazil,GO,40718,1051,174,33
2020-07-18,Brazil,GO,40768,1086,50,35
2020-07-19,Brazil,GO,40782,1106,14,20
2020-07-20,Brazil,GO,41433,1145,651,39
2020-07-21,Brazil,GO,45254,1178,3821,33
2020-07-22,Brazil,GO,48682,1237,3428,59
2020-07-23,Brazil,GO,51423,1295,2741,58
2020-07-24,Brazil,GO,54154,1353,2731,58
2020-07-25,Brazil,GO,55567,1380,1413,27
2020-07-26,Brazil,GO,56250,1395,683,15
2020-07-27,Brazil,GO,59043,1457,2793,62
2020-07-28,Brazil,GO,61613,1501,2570,44
2020-07-29,Brazil,GO,64250,1554,2637,53
2020-07-30,Brazil,GO,66899,1606,2649,52
2020-07-31,Brazil,GO,69249,1677,2350,71
2020-08-01,Brazil,GO,69820,1691,571,14
2020-08-02,Brazil,GO,70176,1701,356,10
2020-08-03,Brazil,GO,70252,1716,76,15
2020-08-04,Brazil,GO,75010,1817,4758,101
2020-08-05,Brazil,GO,78403,1888,3393,71
2020-08-06,Brazil,GO,81719,1924,3316,36
2020-08-07,Brazil,GO,84175,1974,2456,50
2020-08-08,Brazil,GO,84963,2017,788,43
2020-08-09,Brazil,GO,85154,2020,191,3
2020-08-10,Brazil,GO,88573,2072,3419,52
2020-08-11,Brazil,GO,91849,2122,3276,50
2020-08-12,Brazil,GO,95177,2182,3328,60
2020-08-13,Brazil,GO,98422,2238,3245,56
