date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,MA,0,0,0,0
2020-02-26,Brazil,MA,0,0,0,0
2020-02-27,Brazil,MA,0,0,0,0
2020-02-28,Brazil,MA,0,0,0,0
2020-02-29,Brazil,MA,0,0,0,0
2020-03-01,Brazil,MA,0,0,0,0
2020-03-02,Brazil,MA,0,0,0,0
2020-03-03,Brazil,MA,0,0,0,0
2020-03-04,Brazil,MA,0,0,0,0
2020-03-05,Brazil,MA,0,0,0,0
2020-03-06,Brazil,MA,0,0,0,0
2020-03-07,Brazil,MA,0,0,0,0
2020-03-08,Brazil,MA,0,0,0,0
2020-03-09,Brazil,MA,0,0,0,0
2020-03-10,Brazil,MA,0,0,0,0
2020-03-11,Brazil,MA,0,0,0,0
2020-03-12,Brazil,MA,0,0,0,0
2020-03-13,Brazil,MA,0,0,0,0
2020-03-14,Brazil,MA,0,0,0,0
2020-03-15,Brazil,MA,0,0,0,0
2020-03-16,Brazil,MA,0,0,0,0
2020-03-17,Brazil,MA,0,0,0,0
2020-03-18,Brazil,MA,0,0,0,0
2020-03-19,Brazil,MA,0,0,0,0
2020-03-20,Brazil,MA,1,0,1,0
2020-03-21,Brazil,MA,2,0,1,0
2020-03-22,Brazil,MA,2,0,0,0
2020-03-23,Brazil,MA,8,0,6,0
2020-03-24,Brazil,MA,8,0,0,0
2020-03-25,Brazil,MA,8,0,0,0
2020-03-26,Brazil,MA,10,0,2,0
2020-03-27,Brazil,MA,13,0,3,0
2020-03-28,Brazil,MA,15,0,2,0
2020-03-29,Brazil,MA,21,1,6,1
2020-03-30,Brazil,MA,30,1,9,0
2020-03-31,Brazil,MA,51,1,21,0
2020-04-01,Brazil,MA,70,1,19,0
2020-04-02,Brazil,MA,80,1,10,0
2020-04-03,Brazil,MA,87,1,7,0
2020-04-04,Brazil,MA,95,2,8,1
2020-04-05,Brazil,MA,132,2,37,0
2020-04-06,Brazil,MA,171,4,39,2
2020-04-07,Brazil,MA,229,11,58,7
2020-04-08,Brazil,MA,272,12,43,1
2020-04-09,Brazil,MA,293,16,21,4
2020-04-10,Brazil,MA,344,21,51,5
2020-04-11,Brazil,MA,398,24,54,3
2020-04-12,Brazil,MA,445,27,47,3
2020-04-13,Brazil,MA,478,32,33,5
2020-04-14,Brazil,MA,630,34,152,2
2020-04-15,Brazil,MA,695,37,65,3
2020-04-16,Brazil,MA,797,40,102,3
2020-04-17,Brazil,MA,1040,44,243,4
2020-04-18,Brazil,MA,1205,48,165,4
2020-04-19,Brazil,MA,1320,54,115,6
2020-04-20,Brazil,MA,1396,60,76,6
2020-04-21,Brazil,MA,1604,66,208,6
2020-04-22,Brazil,MA,1757,76,153,10
2020-04-23,Brazil,MA,1951,88,194,12
2020-04-24,Brazil,MA,2105,100,154,12
2020-04-25,Brazil,MA,2223,112,118,12
2020-04-26,Brazil,MA,2410,125,187,13
2020-04-27,Brazil,MA,2528,145,118,20
2020-04-28,Brazil,MA,2804,166,276,21
2020-04-29,Brazil,MA,3190,184,386,18
2020-04-30,Brazil,MA,3506,204,316,20
2020-05-01,Brazil,MA,3805,224,299,20
2020-05-02,Brazil,MA,4040,237,235,13
2020-05-03,Brazil,MA,4227,249,187,12
2020-05-04,Brazil,MA,4530,271,303,22
2020-05-05,Brazil,MA,5028,291,498,20
2020-05-06,Brazil,MA,5389,305,361,14
2020-05-07,Brazil,MA,5909,330,520,25
2020-05-08,Brazil,MA,6765,355,856,25
2020-05-09,Brazil,MA,7599,379,834,24
2020-05-10,Brazil,MA,8144,399,545,20
2020-05-11,Brazil,MA,8526,423,382,24
2020-05-12,Brazil,MA,9112,444,586,21
2020-05-13,Brazil,MA,9801,470,689,26
2020-05-14,Brazil,MA,10739,496,938,26
2020-05-15,Brazil,MA,11592,524,853,28
2020-05-16,Brazil,MA,12492,549,900,25
2020-05-17,Brazil,MA,13238,576,746,27
2020-05-18,Brazil,MA,14198,604,960,28
2020-05-19,Brazil,MA,15114,634,916,30
2020-05-20,Brazil,MA,16058,663,944,29
2020-05-21,Brazil,MA,17212,693,1154,30
2020-05-22,Brazil,MA,18767,722,1555,29
2020-05-23,Brazil,MA,21191,754,2424,32
2020-05-24,Brazil,MA,22786,784,1595,30
2020-05-25,Brazil,MA,24278,817,1492,33
2020-05-26,Brazil,MA,26145,853,1867,36
2020-05-27,Brazil,MA,27979,887,1834,34
2020-05-28,Brazil,MA,30482,911,2503,24
2020-05-29,Brazil,MA,32620,932,2138,21
2020-05-30,Brazil,MA,34639,955,2019,23
2020-05-31,Brazil,MA,35297,976,658,21
2020-06-01,Brazil,MA,36625,997,1328,21
2020-06-02,Brazil,MA,38174,1028,1549,31
2020-06-03,Brazil,MA,40629,1062,2455,34
2020-06-04,Brazil,MA,43313,1095,2684,33
2020-06-05,Brazil,MA,45470,1132,2157,37
2020-06-06,Brazil,MA,47593,1170,2123,38
2020-06-07,Brazil,MA,48537,1208,944,38
2020-06-08,Brazil,MA,49371,1247,834,39
2020-06-09,Brazil,MA,52069,1285,2698,38
2020-06-10,Brazil,MA,53508,1322,1439,37
2020-06-11,Brazil,MA,55680,1360,2172,38
2020-06-12,Brazil,MA,57605,1399,1925,39
2020-06-13,Brazil,MA,58859,1436,1254,37
2020-06-14,Brazil,MA,59850,1467,991,31
2020-06-15,Brazil,MA,60592,1499,742,32
2020-06-16,Brazil,MA,62711,1537,2119,38
2020-06-17,Brazil,MA,64735,1570,2024,33
2020-06-18,Brazil,MA,66091,1607,1356,37
2020-06-19,Brazil,MA,68500,1645,2409,38
2020-06-20,Brazil,MA,69673,1684,1173,39
2020-06-21,Brazil,MA,70059,1721,386,37
2020-06-22,Brazil,MA,70689,1760,630,39
2020-06-23,Brazil,MA,72021,1797,1332,37
2020-06-24,Brazil,MA,73314,1836,1293,39
2020-06-25,Brazil,MA,74925,1871,1611,35
2020-06-26,Brazil,MA,76698,1906,1773,35
2020-06-27,Brazil,MA,78115,1943,1417,37
2020-06-28,Brazil,MA,78512,1982,397,39
2020-06-29,Brazil,MA,78969,2012,457,30
2020-06-30,Brazil,MA,80451,2048,1482,36
2020-07-01,Brazil,MA,83256,2081,2805,33
2020-07-02,Brazil,MA,86025,2119,2769,38
2020-07-03,Brazil,MA,88214,2153,2189,34
2020-07-04,Brazil,MA,89057,2185,843,32
2020-07-05,Brazil,MA,89714,2219,657,34
2020-07-06,Brazil,MA,90251,2250,537,31
2020-07-07,Brazil,MA,92088,2286,1837,36
2020-07-08,Brazil,MA,92939,2324,851,38
2020-07-09,Brazil,MA,95323,2357,2384,33
2020-07-10,Brazil,MA,96718,2392,1395,35
2020-07-11,Brazil,MA,98398,2426,1680,34
2020-07-12,Brazil,MA,98952,2463,554,37
2020-07-13,Brazil,MA,99830,2501,878,38
2020-07-14,Brazil,MA,101467,2536,1637,35
2020-07-15,Brazil,MA,102469,2572,1002,36
2020-07-16,Brazil,MA,104126,2608,1657,36
2020-07-17,Brazil,MA,105183,2640,1057,32
2020-07-18,Brazil,MA,106092,2676,909,36
2020-07-19,Brazil,MA,106325,2708,233,32
2020-07-20,Brazil,MA,106906,2740,581,32
2020-07-21,Brazil,MA,108154,2778,1248,38
2020-07-22,Brazil,MA,109731,2810,1577,32
2020-07-23,Brazil,MA,111488,2840,1757,30
2020-07-24,Brazil,MA,112683,2871,1195,31
2020-07-25,Brazil,MA,113563,2898,880,27
2020-07-26,Brazil,MA,113891,2923,328,25
2020-07-27,Brazil,MA,114585,2943,694,20
2020-07-28,Brazil,MA,115988,2959,1403,16
2020-07-29,Brazil,MA,117694,2978,1706,19
2020-07-30,Brazil,MA,119262,2996,1568,18
2020-07-31,Brazil,MA,120661,3013,1399,17
2020-08-01,Brazil,MA,121581,3032,920,19
2020-08-02,Brazil,MA,121953,3050,372,18
2020-08-03,Brazil,MA,122482,3069,529,19
2020-08-04,Brazil,MA,123887,3085,1405,16
2020-08-05,Brazil,MA,125459,3103,1572,18
2020-08-06,Brazil,MA,127065,3120,1606,17
2020-08-07,Brazil,MA,128846,3138,1781,18
2020-08-08,Brazil,MA,129700,3154,854,16
2020-08-09,Brazil,MA,130136,3169,436,15
2020-08-10,Brazil,MA,130566,3187,430,18
2020-08-11,Brazil,MA,132060,3204,1494,17
2020-08-12,Brazil,MA,133265,3215,1205,11
2020-08-13,Brazil,MA,134193,3228,928,13
2020-08-14,Brazil,MA,135324,3240,1131,12
2020-08-15,Brazil,MA,136280,3253,956,13
2020-08-16,Brazil,MA,136853,3264,573,11
2020-08-17,Brazil,MA,137408,3277,555,13
2020-08-18,Brazil,MA,139185,3289,1777,12
2020-08-19,Brazil,MA,140571,3302,1386,13
2020-08-20,Brazil,MA,141860,3315,1289,13
2020-08-21,Brazil,MA,143103,3328,1243,13
2020-08-22,Brazil,MA,143873,3340,770,12
2020-08-23,Brazil,MA,144400,3352,527,12
2020-08-24,Brazil,MA,144895,3365,495,13
2020-08-25,Brazil,MA,145921,3377,1026,12
2020-08-26,Brazil,MA,147676,3390,1755,13
2020-08-27,Brazil,MA,148923,3402,1247,12
2020-08-28,Brazil,MA,150144,3412,1221,10
2020-08-29,Brazil,MA,150895,3424,751,12
2020-08-30,Brazil,MA,151212,3436,317,12
2020-08-31,Brazil,MA,151615,3446,403,10
2020-09-01,Brazil,MA,152681,3457,1066,11
2020-09-02,Brazil,MA,154468,3467,1787,10
2020-09-03,Brazil,MA,155717,3478,1249,11
2020-09-04,Brazil,MA,157052,3488,1335,10
2020-09-05,Brazil,MA,157844,3499,792,11
2020-09-06,Brazil,MA,158050,3508,206,9
2020-09-07,Brazil,MA,158310,3518,260,10
2020-09-08,Brazil,MA,159163,3529,853,11
2020-09-09,Brazil,MA,160239,3539,1076,10
2020-09-10,Brazil,MA,160968,3550,729,11
2020-09-11,Brazil,MA,161994,3560,1026,10
2020-09-12,Brazil,MA,162476,3569,482,9
2020-09-13,Brazil,MA,162583,3580,107,11
2020-09-14,Brazil,MA,162998,3590,415,10
2020-09-15,Brazil,MA,163802,3601,804,11
2020-09-16,Brazil,MA,164770,3611,968,10
2020-09-17,Brazil,MA,165499,3622,729,11
2020-09-18,Brazil,MA,166580,3632,1081,10
2020-09-19,Brazil,MA,167333,3643,753,11
2020-09-20,Brazil,MA,167657,3653,324,10
2020-09-21,Brazil,MA,167948,3664,291,11
2020-09-22,Brazil,MA,168913,3674,965,10
2020-09-23,Brazil,MA,169690,3683,777,9
2020-09-24,Brazil,MA,170186,3693,496,10
2020-09-25,Brazil,MA,170923,3703,737,10
2020-09-26,Brazil,MA,171480,3714,557,11
2020-09-27,Brazil,MA,171755,3724,275,10
2020-09-28,Brazil,MA,172176,3735,421,11
2020-09-29,Brazil,MA,172845,3745,669,10
2020-09-30,Brazil,MA,173564,3756,719,11
2020-10-01,Brazil,MA,174195,3766,631,10
2020-10-02,Brazil,MA,174788,3776,593,10
2020-10-03,Brazil,MA,175218,3787,430,11
2020-10-04,Brazil,MA,175388,3796,170,9
2020-10-05,Brazil,MA,175753,3807,365,11
2020-10-06,Brazil,MA,176283,3817,530,10
2020-10-07,Brazil,MA,176995,3828,712,11
2020-10-08,Brazil,MA,177584,3838,589,10
2020-10-09,Brazil,MA,178192,3849,608,11
2020-10-10,Brazil,MA,178549,3860,357,11
2020-10-11,Brazil,MA,178765,3869,216,9
2020-10-12,Brazil,MA,178890,3876,125,7
2020-10-13,Brazil,MA,179170,3885,280,9
2020-10-14,Brazil,MA,179654,3896,484,11
2020-10-15,Brazil,MA,180154,3906,500,10
2020-10-16,Brazil,MA,180560,3914,406,8
2020-10-17,Brazil,MA,180887,3923,327,9
2020-10-18,Brazil,MA,181051,3930,164,7
2020-10-19,Brazil,MA,181545,3939,494,9
2020-10-20,Brazil,MA,182020,3949,475,10
2020-10-21,Brazil,MA,182483,3960,463,11
2020-10-22,Brazil,MA,182944,3968,461,8
2020-10-23,Brazil,MA,183461,3978,517,10
2020-10-24,Brazil,MA,183763,3987,302,9
2020-10-25,Brazil,MA,183938,3994,175,7
2020-10-26,Brazil,MA,184122,4003,184,9
2020-10-27,Brazil,MA,184668,4014,546,11
2020-10-28,Brazil,MA,185000,4024,332,10
2020-10-29,Brazil,MA,185341,4034,341,10
2020-10-30,Brazil,MA,185714,4044,373,10
2020-10-31,Brazil,MA,185827,4053,113,9
2020-11-01,Brazil,MA,185917,4061,90,8
2020-11-02,Brazil,MA,185986,4070,69,9
2020-11-03,Brazil,MA,186209,4081,223,11
2020-11-04,Brazil,MA,186572,4091,363,10
2020-11-05,Brazil,MA,186904,4101,332,10
2020-11-06,Brazil,MA,187294,4112,390,11
2020-11-07,Brazil,MA,187555,4119,261,7
2020-11-08,Brazil,MA,187652,4125,97,6
2020-11-09,Brazil,MA,187919,4130,267,5
2020-11-10,Brazil,MA,188313,4138,394,8
2020-11-11,Brazil,MA,188677,4146,364,8
2020-11-12,Brazil,MA,189048,4154,371,8
2020-11-13,Brazil,MA,189321,4162,273,8
2020-11-14,Brazil,MA,189501,4171,180,9
2020-11-15,Brazil,MA,189590,4178,89,7
2020-11-16,Brazil,MA,189705,4187,115,9
2020-11-17,Brazil,MA,189936,4195,231,8
