date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,MS,0,0,0,0
2020-02-26,Brazil,MS,0,0,0,0
2020-02-27,Brazil,MS,0,0,0,0
2020-02-28,Brazil,MS,0,0,0,0
2020-02-29,Brazil,MS,0,0,0,0
2020-03-01,Brazil,MS,0,0,0,0
2020-03-02,Brazil,MS,0,0,0,0
2020-03-03,Brazil,MS,0,0,0,0
2020-03-04,Brazil,MS,0,0,0,0
2020-03-05,Brazil,MS,0,0,0,0
2020-03-06,Brazil,MS,0,0,0,0
2020-03-07,Brazil,MS,0,0,0,0
2020-03-08,Brazil,MS,0,0,0,0
2020-03-09,Brazil,MS,0,0,0,0
2020-03-10,Brazil,MS,0,0,0,0
2020-03-11,Brazil,MS,0,0,0,0
2020-03-12,Brazil,MS,0,0,0,0
2020-03-13,Brazil,MS,0,0,0,0
2020-03-14,Brazil,MS,2,0,2,0
2020-03-15,Brazil,MS,2,0,0,0
2020-03-16,Brazil,MS,4,0,2,0
2020-03-17,Brazil,MS,6,0,2,0
2020-03-18,Brazil,MS,7,0,1,0
2020-03-19,Brazil,MS,9,0,2,0
2020-03-20,Brazil,MS,12,0,3,0
2020-03-21,Brazil,MS,16,0,4,0
2020-03-22,Brazil,MS,21,0,5,0
2020-03-23,Brazil,MS,21,0,0,0
2020-03-24,Brazil,MS,24,0,3,0
2020-03-25,Brazil,MS,24,0,0,0
2020-03-26,Brazil,MS,25,0,1,0
2020-03-27,Brazil,MS,28,0,3,0
2020-03-28,Brazil,MS,31,0,3,0
2020-03-29,Brazil,MS,36,0,5,0
2020-03-30,Brazil,MS,44,0,8,0
2020-03-31,Brazil,MS,48,1,4,1
2020-04-01,Brazil,MS,51,1,3,0
2020-04-02,Brazil,MS,53,1,2,0
2020-04-03,Brazil,MS,60,1,7,0
2020-04-04,Brazil,MS,62,1,2,0
2020-04-05,Brazil,MS,65,1,3,0
2020-04-06,Brazil,MS,66,1,1,0
2020-04-07,Brazil,MS,80,2,14,1
2020-04-08,Brazil,MS,85,2,5,0
2020-04-09,Brazil,MS,89,2,4,0
2020-04-10,Brazil,MS,97,2,8,0
2020-04-11,Brazil,MS,100,2,3,0
2020-04-12,Brazil,MS,101,2,1,0
2020-04-13,Brazil,MS,113,4,12,2
2020-04-14,Brazil,MS,115,4,2,0
2020-04-15,Brazil,MS,121,4,6,0
2020-04-16,Brazil,MS,131,5,10,1
2020-04-17,Brazil,MS,143,5,12,0
2020-04-18,Brazil,MS,161,5,18,0
2020-04-19,Brazil,MS,168,5,7,0
2020-04-20,Brazil,MS,171,5,3,0
2020-04-21,Brazil,MS,173,6,2,1
2020-04-22,Brazil,MS,175,6,2,0
2020-04-23,Brazil,MS,186,7,11,1
2020-04-24,Brazil,MS,213,7,27,0
2020-04-25,Brazil,MS,217,7,4,0
2020-04-26,Brazil,MS,234,7,17,0
2020-04-27,Brazil,MS,238,9,4,2
2020-04-28,Brazil,MS,240,9,2,0
2020-04-29,Brazil,MS,249,9,9,0
2020-04-30,Brazil,MS,255,9,6,0
2020-05-01,Brazil,MS,261,9,6,0
2020-05-02,Brazil,MS,266,9,5,0
2020-05-03,Brazil,MS,272,10,6,1
2020-05-04,Brazil,MS,274,10,2,0
