date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,MT,0,0,0,0
2020-02-26,Brazil,MT,0,0,0,0
2020-02-27,Brazil,MT,0,0,0,0
2020-02-28,Brazil,MT,0,0,0,0
2020-02-29,Brazil,MT,0,0,0,0
2020-03-01,Brazil,MT,0,0,0,0
2020-03-02,Brazil,MT,0,0,0,0
2020-03-03,Brazil,MT,0,0,0,0
2020-03-04,Brazil,MT,0,0,0,0
2020-03-05,Brazil,MT,0,0,0,0
2020-03-06,Brazil,MT,0,0,0,0
2020-03-07,Brazil,MT,0,0,0,0
2020-03-08,Brazil,MT,0,0,0,0
2020-03-09,Brazil,MT,0,0,0,0
2020-03-10,Brazil,MT,0,0,0,0
2020-03-11,Brazil,MT,0,0,0,0
2020-03-12,Brazil,MT,0,0,0,0
2020-03-13,Brazil,MT,0,0,0,0
2020-03-14,Brazil,MT,0,0,0,0
2020-03-15,Brazil,MT,0,0,0,0
2020-03-16,Brazil,MT,0,0,0,0
2020-03-17,Brazil,MT,0,0,0,0
2020-03-18,Brazil,MT,0,0,0,0
2020-03-19,Brazil,MT,0,0,0,0
2020-03-20,Brazil,MT,1,0,1,0
2020-03-21,Brazil,MT,1,0,0,0
2020-03-22,Brazil,MT,2,0,1,0
2020-03-23,Brazil,MT,6,0,4,0
2020-03-24,Brazil,MT,7,0,1,0
2020-03-25,Brazil,MT,9,0,2,0
2020-03-26,Brazil,MT,11,0,2,0
2020-03-27,Brazil,MT,11,0,0,0
2020-03-28,Brazil,MT,11,0,0,0
2020-03-29,Brazil,MT,11,0,0,0
2020-03-30,Brazil,MT,18,0,7,0
2020-03-31,Brazil,MT,25,0,7,0
2020-04-01,Brazil,MT,28,0,3,0
2020-04-02,Brazil,MT,41,0,13,0
2020-04-03,Brazil,MT,44,1,3,1
2020-04-04,Brazil,MT,60,1,16,0
2020-04-05,Brazil,MT,60,1,0,0
2020-04-06,Brazil,MT,76,1,16,0
2020-04-07,Brazil,MT,78,1,2,0
2020-04-08,Brazil,MT,90,1,12,0
2020-04-09,Brazil,MT,108,2,18,1
2020-04-10,Brazil,MT,112,2,4,0
2020-04-11,Brazil,MT,121,3,9,1
2020-04-12,Brazil,MT,123,3,2,0
2020-04-13,Brazil,MT,134,4,11,1
2020-04-14,Brazil,MT,138,4,4,0
2020-04-15,Brazil,MT,151,4,13,0
2020-04-16,Brazil,MT,156,5,5,1
2020-04-17,Brazil,MT,162,5,6,0
2020-04-18,Brazil,MT,171,5,9,0
2020-04-19,Brazil,MT,174,5,3,0
2020-04-20,Brazil,MT,181,6,7,1
2020-04-21,Brazil,MT,181,6,0,0
2020-04-22,Brazil,MT,205,6,24,0
2020-04-23,Brazil,MT,220,7,15,1
2020-04-24,Brazil,MT,241,8,21,1
2020-04-25,Brazil,MT,246,9,5,1
2020-04-26,Brazil,MT,249,9,3,0
2020-04-27,Brazil,MT,256,10,7,1
2020-04-28,Brazil,MT,263,11,7,1
2020-04-29,Brazil,MT,292,11,29,0
2020-04-30,Brazil,MT,302,11,10,0
2020-05-01,Brazil,MT,320,11,18,0
2020-05-02,Brazil,MT,333,12,13,1
2020-05-03,Brazil,MT,337,12,4,0
2020-05-04,Brazil,MT,344,13,7,1
2020-05-05,Brazil,MT,366,13,22,0
2020-05-06,Brazil,MT,385,13,19,0
2020-05-07,Brazil,MT,419,14,34,1
2020-05-08,Brazil,MT,464,15,45,1
2020-05-09,Brazil,MT,502,16,38,1
2020-05-10,Brazil,MT,519,18,17,2
2020-05-11,Brazil,MT,545,19,26,1
2020-05-12,Brazil,MT,604,20,59,1
2020-05-13,Brazil,MT,673,21,69,1
2020-05-14,Brazil,MT,734,24,61,3
2020-05-15,Brazil,MT,792,26,58,2
2020-05-16,Brazil,MT,857,27,65,1
2020-05-17,Brazil,MT,901,27,44,0
2020-05-18,Brazil,MT,941,30,40,3
2020-05-19,Brazil,MT,1005,32,64,2
2020-05-20,Brazil,MT,1090,32,85,0
2020-05-21,Brazil,MT,1187,34,97,2
2020-05-22,Brazil,MT,1271,37,84,3
2020-05-23,Brazil,MT,1363,37,92,0
2020-05-24,Brazil,MT,1464,40,101,3
2020-05-25,Brazil,MT,1594,42,130,2
2020-05-26,Brazil,MT,1744,43,150,1
2020-05-27,Brazil,MT,1909,47,165,4
2020-05-28,Brazil,MT,2085,54,176,7
2020-05-29,Brazil,MT,2262,57,177,3
2020-05-30,Brazil,MT,2413,58,151,1
2020-05-31,Brazil,MT,2485,63,72,5
2020-06-01,Brazil,MT,2636,67,151,4
2020-06-02,Brazil,MT,2817,75,181,8
2020-06-03,Brazil,MT,3029,79,212,4
2020-06-04,Brazil,MT,3388,84,359,5
2020-06-05,Brazil,MT,3593,91,205,7
2020-06-06,Brazil,MT,3788,101,195,10
2020-06-07,Brazil,MT,4033,113,245,12
2020-06-08,Brazil,MT,4243,126,210,13
2020-06-09,Brazil,MT,4504,140,261,14
2020-06-10,Brazil,MT,4762,153,258,13
2020-06-11,Brazil,MT,5086,163,324,10
2020-06-12,Brazil,MT,5390,181,304,18
2020-06-13,Brazil,MT,5739,199,349,18
2020-06-14,Brazil,MT,6108,213,369,14
2020-06-15,Brazil,MT,6390,223,282,10
2020-06-16,Brazil,MT,6877,250,487,27
2020-06-17,Brazil,MT,7361,272,484,22
2020-06-18,Brazil,MT,8166,295,805,23
2020-06-19,Brazil,MT,8725,322,559,27
2020-06-20,Brazil,MT,9262,341,537,19
2020-06-21,Brazil,MT,9776,370,514,29
2020-06-22,Brazil,MT,10270,394,494,24
2020-06-23,Brazil,MT,11017,423,747,29
2020-06-24,Brazil,MT,11571,445,554,22
2020-06-25,Brazil,MT,12601,476,1030,31
2020-06-26,Brazil,MT,13406,504,805,28
2020-06-27,Brazil,MT,14128,533,722,29
2020-06-28,Brazil,MT,14654,556,526,23
2020-06-29,Brazil,MT,15328,590,674,34
2020-06-30,Brazil,MT,16304,629,976,39
2020-07-01,Brazil,MT,17401,665,1097,36
2020-07-02,Brazil,MT,18356,706,955,41
2020-07-03,Brazil,MT,19540,741,1184,35
2020-07-04,Brazil,MT,20333,786,793,45
2020-07-05,Brazil,MT,21081,821,748,35
