date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,PA,0,0,0,0
2020-02-26,Brazil,PA,0,0,0,0
2020-02-27,Brazil,PA,0,0,0,0
2020-02-28,Brazil,PA,0,0,0,0
2020-02-29,Brazil,PA,0,0,0,0
2020-03-01,Brazil,PA,0,0,0,0
2020-03-02,Brazil,PA,0,0,0,0
2020-03-03,Brazil,PA,0,0,0,0
2020-03-04,Brazil,PA,0,0,0,0
2020-03-05,Brazil,PA,0,0,0,0
2020-03-06,Brazil,PA,0,0,0,0
2020-03-07,Brazil,PA,0,0,0,0
2020-03-08,Brazil,PA,0,0,0,0
2020-03-09,Brazil,PA,0,0,0,0
2020-03-10,Brazil,PA,0,0,0,0
2020-03-11,Brazil,PA,0,0,0,0
2020-03-12,Brazil,PA,0,0,0,0
2020-03-13,Brazil,PA,0,0,0,0
2020-03-14,Brazil,PA,0,0,0,0
2020-03-15,Brazil,PA,0,0,0,0
2020-03-16,Brazil,PA,0,0,0,0
2020-03-17,Brazil,PA,0,0,0,0
2020-03-18,Brazil,PA,1,0,1,0
2020-03-19,Brazil,PA,1,0,0,0
2020-03-20,Brazil,PA,2,0,1,0
2020-03-21,Brazil,PA,2,0,0,0
2020-03-22,Brazil,PA,4,0,2,0
2020-03-23,Brazil,PA,5,0,1,0
2020-03-24,Brazil,PA,5,0,0,0
2020-03-25,Brazil,PA,7,0,2,0
2020-03-26,Brazil,PA,13,0,6,0
2020-03-27,Brazil,PA,16,0,3,0
2020-03-28,Brazil,PA,18,0,2,0
2020-03-29,Brazil,PA,20,0,2,0
2020-03-30,Brazil,PA,26,0,6,0
2020-03-31,Brazil,PA,34,0,8,0
2020-04-01,Brazil,PA,41,1,7,1
2020-04-02,Brazil,PA,49,1,8,0
2020-04-03,Brazil,PA,75,1,26,0
2020-04-04,Brazil,PA,82,1,7,0
2020-04-05,Brazil,PA,86,1,4,0
2020-04-06,Brazil,PA,123,5,37,4
2020-04-07,Brazil,PA,154,5,31,0
2020-04-08,Brazil,PA,165,6,11,1
2020-04-09,Brazil,PA,169,7,4,1
2020-04-10,Brazil,PA,217,9,48,2
2020-04-11,Brazil,PA,237,11,20,2
2020-04-12,Brazil,PA,259,14,22,3
2020-04-13,Brazil,PA,310,14,51,0
2020-04-14,Brazil,PA,384,21,74,7
2020-04-15,Brazil,PA,487,21,103,0
2020-04-16,Brazil,PA,557,26,70,5
2020-04-17,Brazil,PA,627,32,70,6
2020-04-18,Brazil,PA,641,33,14,1
2020-04-19,Brazil,PA,685,34,44,1
2020-04-20,Brazil,PA,902,35,217,1
2020-04-21,Brazil,PA,1026,38,124,3
2020-04-22,Brazil,PA,1195,43,169,5
2020-04-23,Brazil,PA,1267,53,72,10
2020-04-24,Brazil,PA,1579,86,312,33
2020-04-25,Brazil,PA,1745,95,166,9
2020-04-26,Brazil,PA,2070,114,325,19
2020-04-27,Brazil,PA,2219,122,149,8
2020-04-28,Brazil,PA,2319,132,100,10
2020-04-29,Brazil,PA,2586,156,267,24
2020-04-30,Brazil,PA,2999,224,413,68
2020-05-01,Brazil,PA,3359,263,360,39
2020-05-02,Brazil,PA,3727,306,368,43
2020-05-03,Brazil,PA,3920,317,193,11
2020-05-04,Brazil,PA,4262,344,342,27
2020-05-05,Brazil,PA,4756,375,494,31
2020-05-06,Brazil,PA,5524,410,768,35
2020-05-07,Brazil,PA,5935,488,411,78
2020-05-08,Brazil,PA,6519,574,584,86
2020-05-09,Brazil,PA,7018,610,499,36
2020-05-10,Brazil,PA,7348,672,330,62
2020-05-11,Brazil,PA,8069,812,721,140
2020-05-12,Brazil,PA,9059,914,990,102
2020-05-13,Brazil,PA,10344,1022,1285,108
2020-05-14,Brazil,PA,11479,1095,1135,73
2020-05-15,Brazil,PA,12626,1175,1147,80
2020-05-16,Brazil,PA,13464,1223,838,48
2020-05-17,Brazil,PA,14201,1280,737,57
2020-05-18,Brazil,PA,15467,1392,1266,112
2020-05-19,Brazil,PA,17177,1554,1710,162
2020-05-20,Brazil,PA,18929,1778,1752,224
2020-05-21,Brazil,PA,20532,1893,1603,115
2020-05-22,Brazil,PA,22697,2003,2165,110
2020-05-23,Brazil,PA,24125,2150,1428,147
2020-05-24,Brazil,PA,24815,2290,690,140
2020-05-25,Brazil,PA,27366,2431,2551,141
2020-05-26,Brazil,PA,29882,2522,2516,91
2020-05-27,Brazil,PA,31671,2605,1789,83
2020-05-28,Brazil,PA,35132,2785,3461,180
2020-05-29,Brazil,PA,37296,2900,2164,115
2020-05-30,Brazil,PA,37859,2920,563,20
2020-05-31,Brazil,PA,37961,2923,102,3
2020-06-01,Brazil,PA,40014,3019,2053,96
2020-06-02,Brazil,PA,43652,3144,3638,125
2020-06-03,Brazil,PA,46473,3245,2821,101
2020-06-04,Brazil,PA,49473,3492,3000,247
2020-06-05,Brazil,PA,53860,3665,4387,173
2020-06-06,Brazil,PA,53860,3665,0,0
2020-06-07,Brazil,PA,54271,3678,411,13
2020-06-08,Brazil,PA,57570,3835,3299,157
2020-06-09,Brazil,PA,60636,3898,3066,63
2020-06-10,Brazil,PA,63405,3980,2769,82
2020-06-11,Brazil,PA,65151,4090,1746,110
2020-06-12,Brazil,PA,66328,4132,1177,42
2020-06-13,Brazil,PA,68456,4191,2128,59
2020-06-14,Brazil,PA,69224,4201,768,10
2020-06-15,Brazil,PA,71243,4291,2019,90
2020-06-16,Brazil,PA,74192,4350,2949,59
2020-06-17,Brazil,PA,76623,4395,2431,45
2020-06-18,Brazil,PA,80072,4469,3449,74
2020-06-19,Brazil,PA,82881,4519,2809,50
2020-06-20,Brazil,PA,84654,4583,1773,64
2020-06-21,Brazil,PA,86020,4605,1366,22
2020-06-22,Brazil,PA,88636,4672,2616,67
2020-06-23,Brazil,PA,91708,4726,3072,54
2020-06-24,Brazil,PA,94036,4748,2328,22
2020-06-25,Brazil,PA,96472,4803,2436,55
2020-06-26,Brazil,PA,99313,4834,2841,31
2020-06-27,Brazil,PA,100443,4845,1130,11
2020-06-28,Brazil,PA,101207,4870,764,25
2020-06-29,Brazil,PA,103206,4920,1999,50
2020-06-30,Brazil,PA,105853,4960,2647,40
2020-07-01,Brazil,PA,108067,5004,2214,44
2020-07-02,Brazil,PA,110411,5050,2344,46
2020-07-03,Brazil,PA,112531,5069,2120,19
2020-07-04,Brazil,PA,113811,5096,1280,27
2020-07-05,Brazil,PA,114535,5105,724,9
2020-07-06,Brazil,PA,116152,5128,1617,23
2020-07-07,Brazil,PA,118744,5169,2592,41
2020-07-08,Brazil,PA,120731,5196,1987,27
2020-07-09,Brazil,PA,122674,5224,1943,28
2020-07-10,Brazil,PA,124934,5274,2260,50
2020-07-11,Brazil,PA,125714,5289,780,15
2020-07-12,Brazil,PA,126509,5293,795,4
2020-07-13,Brazil,PA,128570,5318,2061,25
2020-07-14,Brazil,PA,130834,5337,2264,19
2020-07-15,Brazil,PA,133039,5385,2205,48
2020-07-16,Brazil,PA,135164,5448,2125,63
2020-07-17,Brazil,PA,136947,5478,1783,30
2020-07-18,Brazil,PA,137484,5523,537,45
2020-07-19,Brazil,PA,138396,5538,912,15
2020-07-20,Brazil,PA,140393,5554,1997,16
2020-07-21,Brazil,PA,142358,5581,1965,27
2020-07-22,Brazil,PA,144467,5616,2109,35
2020-07-23,Brazil,PA,146252,5646,1785,30
2020-07-24,Brazil,PA,147923,5689,1671,43
2020-07-25,Brazil,PA,148463,5716,540,27
2020-07-26,Brazil,PA,148823,5729,360,13
2020-07-27,Brazil,PA,150616,5753,1793,24
2020-07-28,Brazil,PA,151849,5694,1233,-59
2020-07-29,Brazil,PA,153350,5699,1501,5
2020-07-30,Brazil,PA,154685,5728,1335,29
2020-07-31,Brazil,PA,156053,5750,1368,22
2020-08-01,Brazil,PA,156285,5773,232,23
2020-08-02,Brazil,PA,156505,5784,220,11
2020-08-03,Brazil,PA,158277,5799,1772,15
2020-08-04,Brazil,PA,160695,5818,2418,19
2020-08-05,Brazil,PA,162822,5835,2127,17
2020-08-06,Brazil,PA,164759,5854,1937,19
2020-08-07,Brazil,PA,167099,5871,2340,17
2020-08-08,Brazil,PA,167642,5885,543,14
2020-08-09,Brazil,PA,168151,5893,509,8
2020-08-10,Brazil,PA,169613,5901,1462,8
2020-08-11,Brazil,PA,171878,5909,2265,8
2020-08-12,Brazil,PA,173625,5917,1747,8
2020-08-13,Brazil,PA,175608,5924,1983,7
2020-08-14,Brazil,PA,177010,5932,1402,8
2020-08-15,Brazil,PA,177969,5940,959,8
