date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,PB,0,0,0,0
2020-02-26,Brazil,PB,0,0,0,0
2020-02-27,Brazil,PB,0,0,0,0
2020-02-28,Brazil,PB,0,0,0,0
2020-02-29,Brazil,PB,0,0,0,0
2020-03-01,Brazil,PB,0,0,0,0
2020-03-02,Brazil,PB,0,0,0,0
2020-03-03,Brazil,PB,0,0,0,0
2020-03-04,Brazil,PB,0,0,0,0
2020-03-05,Brazil,PB,0,0,0,0
2020-03-06,Brazil,PB,0,0,0,0
2020-03-07,Brazil,PB,0,0,0,0
2020-03-08,Brazil,PB,0,0,0,0
2020-03-09,Brazil,PB,0,0,0,0
2020-03-10,Brazil,PB,0,0,0,0
2020-03-11,Brazil,PB,0,0,0,0
2020-03-12,Brazil,PB,0,0,0,0
2020-03-13,Brazil,PB,0,0,0,0
2020-03-14,Brazil,PB,0,0,0,0
2020-03-15,Brazil,PB,0,0,0,0
2020-03-16,Brazil,PB,0,0,0,0
2020-03-17,Brazil,PB,0,0,0,0
2020-03-18,Brazil,PB,1,0,1,0
2020-03-19,Brazil,PB,1,0,0,0
2020-03-20,Brazil,PB,1,0,0,0
2020-03-21,Brazil,PB,1,0,0,0
2020-03-22,Brazil,PB,1,0,0,0
2020-03-23,Brazil,PB,2,0,1,0
2020-03-24,Brazil,PB,3,0,1,0
2020-03-25,Brazil,PB,5,0,2,0
2020-03-26,Brazil,PB,6,0,1,0
2020-03-27,Brazil,PB,10,0,4,0
2020-03-28,Brazil,PB,14,0,4,0
2020-03-29,Brazil,PB,14,0,0,0
2020-03-30,Brazil,PB,17,0,3,0
2020-03-31,Brazil,PB,18,1,1,1
2020-04-01,Brazil,PB,21,1,3,0
2020-04-02,Brazil,PB,29,1,8,0
2020-04-03,Brazil,PB,32,1,3,0
2020-04-04,Brazil,PB,34,3,2,2
2020-04-05,Brazil,PB,35,4,1,1
2020-04-06,Brazil,PB,36,4,1,0
2020-04-07,Brazil,PB,41,4,5,0
2020-04-08,Brazil,PB,55,7,14,3
2020-04-09,Brazil,PB,79,11,24,4
2020-04-10,Brazil,PB,85,11,6,0
2020-04-11,Brazil,PB,101,13,16,2
2020-04-12,Brazil,PB,111,13,10,0
2020-04-13,Brazil,PB,136,16,25,3
2020-04-14,Brazil,PB,152,21,16,5
2020-04-15,Brazil,PB,165,24,13,3
2020-04-16,Brazil,PB,195,26,30,2
2020-04-17,Brazil,PB,205,28,10,2
2020-04-18,Brazil,PB,236,29,31,1
2020-04-19,Brazil,PB,245,32,9,3
2020-04-20,Brazil,PB,263,33,18,1
2020-04-21,Brazil,PB,301,39,38,6
2020-04-22,Brazil,PB,345,40,44,1
2020-04-23,Brazil,PB,386,44,41,4
2020-04-24,Brazil,PB,447,46,61,2
2020-04-25,Brazil,PB,499,49,52,3
2020-04-26,Brazil,PB,543,50,44,1
2020-04-27,Brazil,PB,633,53,90,3
