date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,PE,0,0,0,0
2020-02-26,Brazil,PE,0,0,0,0
2020-02-27,Brazil,PE,0,0,0,0
2020-02-28,Brazil,PE,0,0,0,0
2020-02-29,Brazil,PE,0,0,0,0
2020-03-01,Brazil,PE,0,0,0,0
2020-03-02,Brazil,PE,0,0,0,0
2020-03-03,Brazil,PE,0,0,0,0
2020-03-04,Brazil,PE,0,0,0,0
2020-03-05,Brazil,PE,0,0,0,0
2020-03-06,Brazil,PE,0,0,0,0
2020-03-07,Brazil,PE,0,0,0,0
2020-03-08,Brazil,PE,0,0,0,0
2020-03-09,Brazil,PE,0,0,0,0
2020-03-10,Brazil,PE,0,0,0,0
2020-03-11,Brazil,PE,0,0,0,0
2020-03-12,Brazil,PE,2,0,2,0
2020-03-13,Brazil,PE,2,0,0,0
2020-03-14,Brazil,PE,7,0,5,0
2020-03-15,Brazil,PE,8,0,1,0
2020-03-16,Brazil,PE,8,0,0,0
2020-03-17,Brazil,PE,18,0,10,0
2020-03-18,Brazil,PE,19,0,1,0
2020-03-19,Brazil,PE,28,0,9,0
2020-03-20,Brazil,PE,31,0,3,0
2020-03-21,Brazil,PE,33,0,2,0
2020-03-22,Brazil,PE,37,0,4,0
2020-03-23,Brazil,PE,42,0,5,0
2020-03-24,Brazil,PE,42,0,0,0
2020-03-25,Brazil,PE,46,1,4,1
2020-03-26,Brazil,PE,48,3,2,2
2020-03-27,Brazil,PE,57,4,9,1
2020-03-28,Brazil,PE,68,5,11,1
2020-03-29,Brazil,PE,73,5,5,0
2020-03-30,Brazil,PE,77,6,4,1
2020-03-31,Brazil,PE,87,6,10,0
2020-04-01,Brazil,PE,95,8,8,2
2020-04-02,Brazil,PE,106,9,11,1
2020-04-03,Brazil,PE,136,10,30,1
2020-04-04,Brazil,PE,176,14,40,4
2020-04-05,Brazil,PE,201,21,25,7
2020-04-06,Brazil,PE,223,30,22,9
2020-04-07,Brazil,PE,352,34,129,4
2020-04-08,Brazil,PE,401,46,49,12
2020-04-09,Brazil,PE,555,56,154,10
2020-04-10,Brazil,PE,684,65,129,9
2020-04-11,Brazil,PE,816,72,132,7
2020-04-12,Brazil,PE,960,85,144,13
2020-04-13,Brazil,PE,1154,102,194,17
2020-04-14,Brazil,PE,1284,115,130,13
2020-04-15,Brazil,PE,1484,143,200,28
2020-04-16,Brazil,PE,1683,160,199,17
2020-04-17,Brazil,PE,2006,186,323,26
2020-04-18,Brazil,PE,2193,205,187,19
2020-04-19,Brazil,PE,2459,216,266,11
2020-04-20,Brazil,PE,2690,234,231,18
