date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,PI,0,0,0,0
2020-02-26,Brazil,PI,0,0,0,0
2020-02-27,Brazil,PI,0,0,0,0
2020-02-28,Brazil,PI,0,0,0,0
2020-02-29,Brazil,PI,0,0,0,0
2020-03-01,Brazil,PI,0,0,0,0
2020-03-02,Brazil,PI,0,0,0,0
2020-03-03,Brazil,PI,0,0,0,0
2020-03-04,Brazil,PI,0,0,0,0
2020-03-05,Brazil,PI,0,0,0,0
2020-03-06,Brazil,PI,0,0,0,0
2020-03-07,Brazil,PI,0,0,0,0
2020-03-08,Brazil,PI,0,0,0,0
2020-03-09,Brazil,PI,0,0,0,0
2020-03-10,Brazil,PI,0,0,0,0
2020-03-11,Brazil,PI,0,0,0,0
2020-03-12,Brazil,PI,0,0,0,0
2020-03-13,Brazil,PI,0,0,0,0
2020-03-14,Brazil,PI,0,0,0,0
2020-03-15,Brazil,PI,0,0,0,0
2020-03-16,Brazil,PI,0,0,0,0
2020-03-17,Brazil,PI,0,0,0,0
2020-03-18,Brazil,PI,0,0,0,0
2020-03-19,Brazil,PI,3,0,3,0
2020-03-20,Brazil,PI,4,0,1,0
2020-03-21,Brazil,PI,4,0,0,0
2020-03-22,Brazil,PI,6,0,2,0
2020-03-23,Brazil,PI,6,0,0,0
2020-03-24,Brazil,PI,8,0,2,0
2020-03-25,Brazil,PI,8,0,0,0
2020-03-26,Brazil,PI,9,0,1,0
2020-03-27,Brazil,PI,10,1,1,1
2020-03-28,Brazil,PI,11,1,1,0
2020-03-29,Brazil,PI,16,3,5,2
2020-03-30,Brazil,PI,18,4,2,1
2020-03-31,Brazil,PI,18,4,0,0
2020-04-01,Brazil,PI,19,4,1,0
2020-04-02,Brazil,PI,19,4,0,0
2020-04-03,Brazil,PI,22,4,3,0
2020-04-04,Brazil,PI,24,4,2,0
2020-04-05,Brazil,PI,24,4,0,0
2020-04-06,Brazil,PI,26,4,2,0
2020-04-07,Brazil,PI,31,5,5,1
2020-04-08,Brazil,PI,38,6,7,1
2020-04-09,Brazil,PI,40,7,2,1
2020-04-10,Brazil,PI,41,7,1,0
2020-04-11,Brazil,PI,44,7,3,0
2020-04-12,Brazil,PI,51,7,7,0
2020-04-13,Brazil,PI,58,8,7,1
2020-04-14,Brazil,PI,75,8,17,0
2020-04-15,Brazil,PI,91,8,16,0
2020-04-16,Brazil,PI,102,8,11,0
2020-04-17,Brazil,PI,123,9,21,1
2020-04-18,Brazil,PI,144,10,21,1
2020-04-19,Brazil,PI,158,12,14,2
2020-04-20,Brazil,PI,186,14,28,2
2020-04-21,Brazil,PI,206,15,20,1
2020-04-22,Brazil,PI,217,15,11,0
2020-04-23,Brazil,PI,256,16,39,1
2020-04-24,Brazil,PI,297,17,41,1
2020-04-25,Brazil,PI,331,18,34,1
2020-04-26,Brazil,PI,364,20,33,2
2020-04-27,Brazil,PI,408,21,44,1
2020-04-28,Brazil,PI,454,24,46,3
2020-04-29,Brazil,PI,513,24,59,0
2020-04-30,Brazil,PI,600,24,87,0
2020-05-01,Brazil,PI,665,26,65,2
2020-05-02,Brazil,PI,742,28,77,2
2020-05-03,Brazil,PI,784,28,42,0
2020-05-04,Brazil,PI,875,29,91,1
2020-05-05,Brazil,PI,949,30,74,1
2020-05-06,Brazil,PI,1051,35,102,5
2020-05-07,Brazil,PI,1131,37,80,2
2020-05-08,Brazil,PI,1233,38,102,1
2020-05-09,Brazil,PI,1278,42,45,4
2020-05-10,Brazil,PI,1332,45,54,3
2020-05-11,Brazil,PI,1443,49,111,4
2020-05-12,Brazil,PI,1612,57,169,8
2020-05-13,Brazil,PI,1784,60,172,3
2020-05-14,Brazil,PI,1905,60,121,0
2020-05-15,Brazil,PI,2085,65,180,5
2020-05-16,Brazil,PI,2252,72,167,7
2020-05-17,Brazil,PI,2287,80,35,8
2020-05-18,Brazil,PI,2440,85,153,5
2020-05-19,Brazil,PI,2637,87,197,2
2020-05-20,Brazil,PI,2852,91,215,4
2020-05-21,Brazil,PI,3074,93,222,2
2020-05-22,Brazil,PI,3258,99,184,6
2020-05-23,Brazil,PI,3390,107,132,8
2020-05-24,Brazil,PI,3550,110,160,3
2020-05-25,Brazil,PI,3720,119,170,9
2020-05-26,Brazil,PI,3966,134,246,15
2020-05-27,Brazil,PI,4243,138,277,4
2020-05-28,Brazil,PI,4503,146,260,8
2020-05-29,Brazil,PI,4745,157,242,11
2020-05-30,Brazil,PI,4931,161,186,4
2020-05-31,Brazil,PI,5119,168,188,7
2020-06-01,Brazil,PI,5506,180,387,12
2020-06-02,Brazil,PI,5828,192,322,12
2020-06-03,Brazil,PI,6064,202,236,10
2020-06-04,Brazil,PI,6717,217,653,15
2020-06-05,Brazil,PI,7105,224,388,7
2020-06-06,Brazil,PI,7478,239,373,15
2020-06-07,Brazil,PI,7621,254,143,15
2020-06-08,Brazil,PI,7927,265,306,11
2020-06-09,Brazil,PI,8359,283,432,18
2020-06-10,Brazil,PI,8823,299,464,16
2020-06-11,Brazil,PI,9337,317,514,18
2020-06-12,Brazil,PI,9825,335,488,18
2020-06-13,Brazil,PI,10153,360,328,25
2020-06-14,Brazil,PI,10357,374,204,14
2020-06-15,Brazil,PI,10881,393,524,19
2020-06-16,Brazil,PI,11559,398,678,5
2020-06-17,Brazil,PI,12099,421,540,23
2020-06-18,Brazil,PI,12567,435,468,14
2020-06-19,Brazil,PI,13813,459,1246,24
2020-06-20,Brazil,PI,14264,485,451,26
2020-06-21,Brazil,PI,14476,502,212,17
2020-06-22,Brazil,PI,15269,517,793,15
2020-06-23,Brazil,PI,16227,534,958,17
2020-06-24,Brazil,PI,17080,546,853,12
2020-06-25,Brazil,PI,18023,574,943,28
2020-06-26,Brazil,PI,18665,592,642,18
2020-06-27,Brazil,PI,19158,615,493,23
2020-06-28,Brazil,PI,19753,643,595,28
2020-06-29,Brazil,PI,20422,663,669,20
2020-06-30,Brazil,PI,22059,686,1637,23
2020-07-01,Brazil,PI,23307,697,1248,11
2020-07-02,Brazil,PI,24376,726,1069,29
2020-07-03,Brazil,PI,25561,762,1185,36
2020-07-04,Brazil,PI,26079,784,518,22
2020-07-05,Brazil,PI,26511,809,432,25
2020-07-06,Brazil,PI,27514,834,1003,25
2020-07-07,Brazil,PI,28411,858,897,24
2020-07-08,Brazil,PI,29745,884,1334,26
2020-07-09,Brazil,PI,31269,896,1524,12
2020-07-10,Brazil,PI,32465,914,1196,18
2020-07-11,Brazil,PI,32963,936,498,22
2020-07-12,Brazil,PI,33359,960,396,24
2020-07-13,Brazil,PI,34156,992,797,32
2020-07-14,Brazil,PI,35445,1019,1289,27
2020-07-15,Brazil,PI,36542,1043,1097,24
2020-07-16,Brazil,PI,37057,1065,515,22
2020-07-17,Brazil,PI,38568,1083,1511,18
2020-07-18,Brazil,PI,39296,1100,728,17
2020-07-19,Brazil,PI,39606,1118,310,18
2020-07-20,Brazil,PI,40276,1140,670,22
2020-07-21,Brazil,PI,41815,1158,1539,18
2020-07-22,Brazil,PI,43179,1184,1364,26
2020-07-23,Brazil,PI,44349,1215,1170,31
2020-07-24,Brazil,PI,45389,1228,1040,13
2020-07-25,Brazil,PI,46044,1243,655,15
2020-07-26,Brazil,PI,46584,1259,540,16
2020-07-27,Brazil,PI,47551,1278,967,19
2020-07-28,Brazil,PI,48962,1292,1411,14
2020-07-29,Brazil,PI,50198,1304,1236,12
2020-07-30,Brazil,PI,51477,1329,1279,25
2020-07-31,Brazil,PI,52458,1354,981,25
2020-08-01,Brazil,PI,52993,1369,535,15
2020-08-02,Brazil,PI,53224,1385,231,16
2020-08-03,Brazil,PI,54443,1401,1219,16
2020-08-04,Brazil,PI,55718,1416,1275,15
2020-08-05,Brazil,PI,57100,1436,1382,20
2020-08-06,Brazil,PI,58390,1452,1290,16
2020-08-07,Brazil,PI,59571,1469,1181,17
2020-08-08,Brazil,PI,59982,1480,411,11
2020-08-09,Brazil,PI,60178,1503,196,23
2020-08-10,Brazil,PI,61144,1526,966,23
2020-08-11,Brazil,PI,62465,1548,1321,22
2020-08-12,Brazil,PI,63662,1566,1197,18
2020-08-13,Brazil,PI,64595,1581,933,15
2020-08-14,Brazil,PI,65638,1594,1043,13
2020-08-15,Brazil,PI,66078,1608,440,14
2020-08-16,Brazil,PI,66315,1619,237,11
2020-08-17,Brazil,PI,67226,1637,911,18
2020-08-18,Brazil,PI,68475,1653,1249,16
2020-08-19,Brazil,PI,69839,1660,1364,7
2020-08-20,Brazil,PI,70536,1672,697,12
2020-08-21,Brazil,PI,71510,1701,974,29
2020-08-22,Brazil,PI,71899,1714,389,13
2020-08-23,Brazil,PI,72165,1724,266,10
2020-08-24,Brazil,PI,72956,1741,791,17
2020-08-25,Brazil,PI,74096,1754,1140,13
2020-08-26,Brazil,PI,75160,1765,1064,11
2020-08-27,Brazil,PI,76033,1785,873,20
2020-08-28,Brazil,PI,76916,1804,883,19
2020-08-29,Brazil,PI,77405,1825,489,21
2020-08-30,Brazil,PI,77405,1825,0,0
2020-08-31,Brazil,PI,77859,1843,454,18
2020-09-01,Brazil,PI,78922,1846,1063,3
2020-09-02,Brazil,PI,79719,1855,797,9
2020-09-03,Brazil,PI,81626,1884,1907,29
2020-09-04,Brazil,PI,81626,1884,0,0
2020-09-05,Brazil,PI,82006,1893,380,9
2020-09-06,Brazil,PI,82282,1901,276,8
2020-09-07,Brazil,PI,82564,1915,282,14
2020-09-08,Brazil,PI,83502,1924,938,9
2020-09-09,Brazil,PI,84508,1931,1006,7
2020-09-10,Brazil,PI,85225,1947,717,16
2020-09-11,Brazil,PI,86085,1958,860,11
2020-09-12,Brazil,PI,86396,1967,311,9
2020-09-13,Brazil,PI,86538,1973,142,6
2020-09-14,Brazil,PI,87213,1988,675,15
2020-09-15,Brazil,PI,87959,1996,746,8
2020-09-16,Brazil,PI,88671,2007,712,11
2020-09-17,Brazil,PI,89443,2012,772,5
2020-09-18,Brazil,PI,90061,2025,618,13
2020-09-19,Brazil,PI,90370,2037,309,12
2020-09-20,Brazil,PI,90617,2038,247,1
2020-09-21,Brazil,PI,91355,2051,738,13
2020-09-22,Brazil,PI,92030,2061,675,10
2020-09-23,Brazil,PI,92801,2073,771,12
2020-09-24,Brazil,PI,93399,2085,598,12
2020-09-25,Brazil,PI,94179,2091,780,6
2020-09-26,Brazil,PI,94540,2095,361,4
2020-09-27,Brazil,PI,94733,2101,193,6
2020-09-28,Brazil,PI,95227,2107,494,6
2020-09-29,Brazil,PI,96086,2122,859,15
2020-09-30,Brazil,PI,96849,2127,763,5
2020-10-01,Brazil,PI,97498,2132,649,5
2020-10-02,Brazil,PI,98108,2144,610,12
2020-10-03,Brazil,PI,98344,2149,236,5
2020-10-04,Brazil,PI,98603,2156,259,7
2020-10-05,Brazil,PI,99276,2169,673,13
2020-10-06,Brazil,PI,99960,2180,684,11
2020-10-07,Brazil,PI,100548,2188,588,8
2020-10-08,Brazil,PI,101123,2197,575,9
2020-10-09,Brazil,PI,101951,2206,828,9
2020-10-10,Brazil,PI,102268,2217,317,11
2020-10-11,Brazil,PI,102500,2230,232,13
2020-10-12,Brazil,PI,102813,2237,313,7
2020-10-13,Brazil,PI,103461,2249,648,12
2020-10-14,Brazil,PI,104329,2261,868,12
2020-10-15,Brazil,PI,105156,2269,827,8
2020-10-16,Brazil,PI,105838,2278,682,9
2020-10-17,Brazil,PI,106200,2286,362,8
2020-10-18,Brazil,PI,106394,2295,194,9
2020-10-19,Brazil,PI,106908,2304,514,9
2020-10-20,Brazil,PI,107580,2314,672,10
2020-10-21,Brazil,PI,108346,2322,766,8
2020-10-22,Brazil,PI,109051,2327,705,5
2020-10-23,Brazil,PI,109829,2340,778,13
2020-10-24,Brazil,PI,110103,2347,274,7
2020-10-25,Brazil,PI,110278,2352,175,5
2020-10-26,Brazil,PI,110864,2363,586,11
2020-10-27,Brazil,PI,111543,2368,679,5
2020-10-28,Brazil,PI,112200,2382,657,14
2020-10-29,Brazil,PI,112765,2392,565,10
2020-10-30,Brazil,PI,113291,2400,526,8
2020-10-31,Brazil,PI,113546,2404,255,4
2020-11-01,Brazil,PI,113774,2420,228,16
2020-11-02,Brazil,PI,113942,2432,168,12
2020-11-03,Brazil,PI,114530,2441,588,9
2020-11-04,Brazil,PI,115026,2450,496,9
2020-11-05,Brazil,PI,115825,2459,799,9
2020-11-06,Brazil,PI,116526,2464,701,5
2020-11-07,Brazil,PI,116742,2467,216,3
2020-11-08,Brazil,PI,117149,2470,407,3
2020-11-09,Brazil,PI,117732,2482,583,12
2020-11-10,Brazil,PI,118349,2486,617,4
2020-11-11,Brazil,PI,118939,2499,590,13
2020-11-12,Brazil,PI,119456,2516,517,17
2020-11-13,Brazil,PI,119940,2523,484,7
2020-11-14,Brazil,PI,120172,2524,232,1
2020-11-15,Brazil,PI,120266,2530,94,6
2020-11-16,Brazil,PI,120466,2541,200,11
2020-11-17,Brazil,PI,120913,2554,447,13
2020-11-18,Brazil,PI,121428,2556,515,2
2020-11-19,Brazil,PI,122007,2568,579,12
2020-11-20,Brazil,PI,122518,2574,511,6
2020-11-21,Brazil,PI,122744,2579,226,5
2020-11-22,Brazil,PI,122929,2584,185,5
2020-11-23,Brazil,PI,123378,2591,449,7
2020-11-24,Brazil,PI,124076,2596,698,5
2020-11-25,Brazil,PI,124494,2603,418,7
2020-11-26,Brazil,PI,125155,2608,661,5
2020-11-27,Brazil,PI,125675,2617,520,9
2020-11-28,Brazil,PI,126721,2622,1046,5
2020-11-29,Brazil,PI,127014,2624,293,2
2020-11-30,Brazil,PI,127686,2634,672,10
2020-12-01,Brazil,PI,128432,2644,746,10
2020-12-02,Brazil,PI,129096,2650,664,6
2020-12-03,Brazil,PI,129825,2658,729,8
2020-12-04,Brazil,PI,130539,2666,714,8
2020-12-05,Brazil,PI,130984,2673,445,7
2020-12-06,Brazil,PI,131454,2680,470,7
2020-12-07,Brazil,PI,132095,2691,641,11
2020-12-08,Brazil,PI,132718,2695,623,4
2020-12-09,Brazil,PI,133336,2704,618,9
2020-12-10,Brazil,PI,133870,2714,534,10
2020-12-11,Brazil,PI,134429,2720,559,6
2020-12-12,Brazil,PI,134717,2722,288,2
2020-12-13,Brazil,PI,134892,2723,175,1
2020-12-14,Brazil,PI,135239,2735,347,12
2020-12-15,Brazil,PI,135769,2743,530,8
2020-12-16,Brazil,PI,136423,2749,654,6
2020-12-17,Brazil,PI,137027,2755,604,6
2020-12-18,Brazil,PI,137607,2764,580,9
2020-12-19,Brazil,PI,137944,2765,337,1
2020-12-20,Brazil,PI,138152,2769,208,4
2020-12-21,Brazil,PI,138586,2779,434,10
2020-12-22,Brazil,PI,139168,2788,582,9
