date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,PR,0,0,0,0
2020-02-26,Brazil,PR,0,0,0,0
2020-02-27,Brazil,PR,0,0,0,0
2020-02-28,Brazil,PR,0,0,0,0
2020-02-29,Brazil,PR,0,0,0,0
2020-03-01,Brazil,PR,0,0,0,0
2020-03-02,Brazil,PR,0,0,0,0
2020-03-03,Brazil,PR,0,0,0,0
2020-03-04,Brazil,PR,0,0,0,0
2020-03-05,Brazil,PR,0,0,0,0
2020-03-06,Brazil,PR,0,0,0,0
2020-03-07,Brazil,PR,0,0,0,0
2020-03-08,Brazil,PR,0,0,0,0
2020-03-09,Brazil,PR,0,0,0,0
2020-03-10,Brazil,PR,0,0,0,0
2020-03-11,Brazil,PR,0,0,0,0
2020-03-12,Brazil,PR,6,0,6,0
2020-03-13,Brazil,PR,6,0,0,0
2020-03-14,Brazil,PR,6,0,0,0
2020-03-15,Brazil,PR,6,0,0,0
2020-03-16,Brazil,PR,6,0,0,0
2020-03-17,Brazil,PR,12,0,6,0
2020-03-18,Brazil,PR,14,0,2,0
2020-03-19,Brazil,PR,23,0,9,0
2020-03-20,Brazil,PR,36,0,13,0
2020-03-21,Brazil,PR,43,0,7,0
2020-03-22,Brazil,PR,54,0,11,0
2020-03-23,Brazil,PR,60,0,6,0
2020-03-24,Brazil,PR,70,0,10,0
2020-03-25,Brazil,PR,97,0,27,0
2020-03-26,Brazil,PR,106,0,9,0
2020-03-27,Brazil,PR,125,2,19,2
2020-03-28,Brazil,PR,137,2,12,0
2020-03-29,Brazil,PR,152,2,15,0
2020-03-30,Brazil,PR,160,3,8,1
2020-03-31,Brazil,PR,185,3,25,0
2020-04-01,Brazil,PR,229,3,44,0
2020-04-02,Brazil,PR,258,4,29,1
2020-04-03,Brazil,PR,307,5,49,1
2020-04-04,Brazil,PR,401,7,94,2
2020-04-05,Brazil,PR,445,10,44,3
2020-04-06,Brazil,PR,466,14,21,4
2020-04-07,Brazil,PR,511,15,45,1
2020-04-08,Brazil,PR,550,17,39,2
2020-04-09,Brazil,PR,621,24,71,7
2020-04-10,Brazil,PR,655,26,34,2
2020-04-11,Brazil,PR,688,27,33,1
2020-04-12,Brazil,PR,750,31,62,4
2020-04-13,Brazil,PR,768,33,18,2
2020-04-14,Brazil,PR,803,39,35,6
2020-04-15,Brazil,PR,816,41,13,2
2020-04-16,Brazil,PR,845,43,29,2
2020-04-17,Brazil,PR,887,44,42,1
2020-04-18,Brazil,PR,960,49,73,5
2020-04-19,Brazil,PR,1002,52,42,3
2020-04-20,Brazil,PR,1022,53,20,1
2020-04-21,Brazil,PR,1039,55,17,2
2020-04-22,Brazil,PR,1077,60,38,5
2020-04-23,Brazil,PR,1096,62,19,2
2020-04-24,Brazil,PR,1133,67,37,5
2020-04-25,Brazil,PR,1155,71,22,4
2020-04-26,Brazil,PR,1171,75,16,4
2020-04-27,Brazil,PR,1201,77,30,2
2020-04-28,Brazil,PR,1286,79,85,2
2020-04-29,Brazil,PR,1364,84,78,5
2020-04-30,Brazil,PR,1423,88,59,4
2020-05-01,Brazil,PR,1464,92,41,4
2020-05-02,Brazil,PR,1510,93,46,1
2020-05-03,Brazil,PR,1533,96,23,3
2020-05-04,Brazil,PR,1581,97,48,1
2020-05-05,Brazil,PR,1608,102,27,5
2020-05-06,Brazil,PR,1647,104,39,2
2020-05-07,Brazil,PR,1678,107,31,3
2020-05-08,Brazil,PR,1734,109,56,2
2020-05-09,Brazil,PR,1809,110,75,1
2020-05-10,Brazil,PR,1859,112,50,2
2020-05-11,Brazil,PR,1873,114,14,2
2020-05-12,Brazil,PR,1930,116,57,2
2020-05-13,Brazil,PR,2023,120,93,4
2020-05-14,Brazil,PR,2091,122,68,2
2020-05-15,Brazil,PR,2167,124,76,2
2020-05-16,Brazil,PR,2272,126,105,2
2020-05-17,Brazil,PR,2316,127,44,1
2020-05-18,Brazil,PR,2390,130,74,3
2020-05-19,Brazil,PR,2519,133,129,3
2020-05-20,Brazil,PR,2656,140,137,7
2020-05-21,Brazil,PR,2855,144,199,4
2020-05-22,Brazil,PR,2985,149,130,5
2020-05-23,Brazil,PR,3147,153,162,4
2020-05-24,Brazil,PR,3260,156,113,3
2020-05-25,Brazil,PR,3384,160,124,4
2020-05-26,Brazil,PR,3567,164,183,4
2020-05-27,Brazil,PR,3768,167,201,3
2020-05-28,Brazil,PR,4041,174,273,7
2020-05-29,Brazil,PR,4300,178,259,4
