date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,RO,0,0,0,0
2020-02-26,Brazil,RO,0,0,0,0
2020-02-27,Brazil,RO,0,0,0,0
2020-02-28,Brazil,RO,0,0,0,0
2020-02-29,Brazil,RO,0,0,0,0
2020-03-01,Brazil,RO,0,0,0,0
2020-03-02,Brazil,RO,0,0,0,0
2020-03-03,Brazil,RO,0,0,0,0
2020-03-04,Brazil,RO,0,0,0,0
2020-03-05,Brazil,RO,0,0,0,0
2020-03-06,Brazil,RO,0,0,0,0
2020-03-07,Brazil,RO,0,0,0,0
2020-03-08,Brazil,RO,0,0,0,0
2020-03-09,Brazil,RO,0,0,0,0
2020-03-10,Brazil,RO,0,0,0,0
2020-03-11,Brazil,RO,0,0,0,0
2020-03-12,Brazil,RO,0,0,0,0
2020-03-13,Brazil,RO,0,0,0,0
2020-03-14,Brazil,RO,0,0,0,0
2020-03-15,Brazil,RO,0,0,0,0
2020-03-16,Brazil,RO,0,0,0,0
2020-03-17,Brazil,RO,0,0,0,0
2020-03-18,Brazil,RO,0,0,0,0
2020-03-19,Brazil,RO,0,0,0,0
2020-03-20,Brazil,RO,1,0,1,0
2020-03-21,Brazil,RO,3,0,2,0
2020-03-22,Brazil,RO,3,0,0,0
2020-03-23,Brazil,RO,3,0,0,0
2020-03-24,Brazil,RO,5,0,2,0
2020-03-25,Brazil,RO,5,0,0,0
2020-03-26,Brazil,RO,6,0,1,0
2020-03-27,Brazil,RO,6,0,0,0
2020-03-28,Brazil,RO,6,0,0,0
2020-03-29,Brazil,RO,6,0,0,0
2020-03-30,Brazil,RO,8,1,2,1
2020-03-31,Brazil,RO,9,1,1,0
2020-04-01,Brazil,RO,9,1,0,0
2020-04-02,Brazil,RO,10,1,1,0
2020-04-03,Brazil,RO,10,1,0,0
2020-04-04,Brazil,RO,11,1,1,0
2020-04-05,Brazil,RO,14,1,3,0
2020-04-06,Brazil,RO,18,1,4,0
2020-04-07,Brazil,RO,23,1,5,0
2020-04-08,Brazil,RO,26,1,3,0
2020-04-09,Brazil,RO,28,2,2,1
2020-04-10,Brazil,RO,32,2,4,0
2020-04-11,Brazil,RO,34,2,2,0
2020-04-12,Brazil,RO,42,2,8,0
2020-04-13,Brazil,RO,42,2,0,0
2020-04-14,Brazil,RO,69,2,27,0
2020-04-15,Brazil,RO,73,2,4,0
2020-04-16,Brazil,RO,92,3,19,1
2020-04-17,Brazil,RO,110,3,18,0
2020-04-18,Brazil,RO,128,4,18,1
2020-04-19,Brazil,RO,160,4,32,0
2020-04-20,Brazil,RO,199,4,39,0
2020-04-21,Brazil,RO,223,5,24,1
2020-04-22,Brazil,RO,223,5,0,0
2020-04-23,Brazil,RO,250,5,27,0
2020-04-24,Brazil,RO,290,6,40,1
2020-04-25,Brazil,RO,328,7,38,1
2020-04-26,Brazil,RO,364,10,36,3
2020-04-27,Brazil,RO,393,10,29,0
2020-04-28,Brazil,RO,413,11,20,1
2020-04-29,Brazil,RO,433,15,20,4
2020-04-30,Brazil,RO,502,16,69,1
2020-05-01,Brazil,RO,585,18,83,2
2020-05-02,Brazil,RO,654,23,69,5
2020-05-03,Brazil,RO,705,24,51,1
2020-05-04,Brazil,RO,756,25,51,1
2020-05-05,Brazil,RO,861,29,105,4
2020-05-06,Brazil,RO,943,33,82,4
2020-05-07,Brazil,RO,1098,37,155,4
2020-05-08,Brazil,RO,1222,39,124,2
2020-05-09,Brazil,RO,1263,41,41,2
2020-05-10,Brazil,RO,1302,43,39,2
2020-05-11,Brazil,RO,1398,47,96,4
2020-05-12,Brazil,RO,1460,50,62,3
2020-05-13,Brazil,RO,1612,50,152,0
2020-05-14,Brazil,RO,1686,56,74,6
2020-05-15,Brazil,RO,1794,62,108,6
2020-05-16,Brazil,RO,1918,69,124,7
2020-05-17,Brazil,RO,1963,74,45,5
2020-05-18,Brazil,RO,2043,83,80,9
2020-05-19,Brazil,RO,2413,88,370,5
2020-05-20,Brazil,RO,2499,90,86,2
2020-05-21,Brazil,RO,2499,90,0,0
2020-05-22,Brazil,RO,2774,106,275,16
2020-05-23,Brazil,RO,3109,115,335,9
2020-05-24,Brazil,RO,3201,121,92,6
2020-05-25,Brazil,RO,3268,121,67,0
2020-05-26,Brazil,RO,3493,133,225,12
2020-05-27,Brazil,RO,3862,137,369,4
2020-05-28,Brazil,RO,4252,142,390,5
2020-05-29,Brazil,RO,4502,145,250,3
2020-05-30,Brazil,RO,4743,151,241,6
2020-05-31,Brazil,RO,4942,156,199,5
2020-06-01,Brazil,RO,4942,156,0,0
2020-06-02,Brazil,RO,5477,172,535,16
2020-06-03,Brazil,RO,5714,180,237,8
2020-06-04,Brazil,RO,6459,194,745,14
2020-06-05,Brazil,RO,6862,213,403,19
2020-06-06,Brazil,RO,7701,228,839,15
2020-06-07,Brazil,RO,8110,235,409,7
2020-06-08,Brazil,RO,8626,245,516,10
2020-06-09,Brazil,RO,9220,255,594,10
2020-06-10,Brazil,RO,9850,267,630,12
2020-06-11,Brazil,RO,10547,293,697,26
2020-06-12,Brazil,RO,11224,296,677,3
2020-06-13,Brazil,RO,11632,309,408,13
2020-06-14,Brazil,RO,11865,324,233,15
2020-06-15,Brazil,RO,12180,332,315,8
2020-06-16,Brazil,RO,13010,346,830,14
2020-06-17,Brazil,RO,13567,361,557,15
2020-06-18,Brazil,RO,13804,374,237,13
2020-06-19,Brazil,RO,14353,391,549,17
2020-06-20,Brazil,RO,14952,409,599,18
2020-06-21,Brazil,RO,15181,417,229,8
2020-06-22,Brazil,RO,15827,432,646,15
2020-06-23,Brazil,RO,16499,444,672,12
2020-06-24,Brazil,RO,17424,455,925,11
2020-06-25,Brazil,RO,18173,467,749,12
2020-06-26,Brazil,RO,19271,476,1098,9
2020-06-27,Brazil,RO,19735,481,464,5
2020-06-28,Brazil,RO,19820,486,85,5
2020-06-29,Brazil,RO,20406,499,586,13
2020-06-30,Brazil,RO,21251,518,845,19
2020-07-01,Brazil,RO,21523,523,272,5
2020-07-02,Brazil,RO,21970,530,447,7
2020-07-03,Brazil,RO,22241,533,271,3
