date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,RR,0,0,0,0
2020-02-26,Brazil,RR,0,0,0,0
2020-02-27,Brazil,RR,0,0,0,0
2020-02-28,Brazil,RR,0,0,0,0
2020-02-29,Brazil,RR,0,0,0,0
2020-03-01,Brazil,RR,0,0,0,0
2020-03-02,Brazil,RR,0,0,0,0
2020-03-03,Brazil,RR,0,0,0,0
2020-03-04,Brazil,RR,0,0,0,0
2020-03-05,Brazil,RR,0,0,0,0
2020-03-06,Brazil,RR,0,0,0,0
2020-03-07,Brazil,RR,0,0,0,0
2020-03-08,Brazil,RR,0,0,0,0
2020-03-09,Brazil,RR,0,0,0,0
2020-03-10,Brazil,RR,0,0,0,0
2020-03-11,Brazil,RR,0,0,0,0
2020-03-12,Brazil,RR,0,0,0,0
2020-03-13,Brazil,RR,0,0,0,0
2020-03-14,Brazil,RR,0,0,0,0
2020-03-15,Brazil,RR,0,0,0,0
2020-03-16,Brazil,RR,0,0,0,0
2020-03-17,Brazil,RR,0,0,0,0
2020-03-18,Brazil,RR,0,0,0,0
2020-03-19,Brazil,RR,0,0,0,0
2020-03-20,Brazil,RR,0,0,0,0
2020-03-21,Brazil,RR,2,0,2,0
2020-03-22,Brazil,RR,2,0,0,0
2020-03-23,Brazil,RR,2,0,0,0
2020-03-24,Brazil,RR,8,0,6,0
2020-03-25,Brazil,RR,8,0,0,0
2020-03-26,Brazil,RR,10,0,2,0
2020-03-27,Brazil,RR,12,0,2,0
2020-03-28,Brazil,RR,16,0,4,0
2020-03-29,Brazil,RR,16,0,0,0
2020-03-30,Brazil,RR,16,0,0,0
2020-03-31,Brazil,RR,16,0,0,0
2020-04-01,Brazil,RR,26,0,10,0
2020-04-02,Brazil,RR,30,0,4,0
2020-04-03,Brazil,RR,37,1,7,1
2020-04-04,Brazil,RR,42,1,5,0
2020-04-05,Brazil,RR,42,1,0,0
2020-04-06,Brazil,RR,42,1,0,0
2020-04-07,Brazil,RR,49,1,7,0
2020-04-08,Brazil,RR,52,1,3,0
2020-04-09,Brazil,RR,63,2,11,1
2020-04-10,Brazil,RR,75,3,12,1
2020-04-11,Brazil,RR,79,3,4,0
2020-04-12,Brazil,RR,83,3,4,0
2020-04-13,Brazil,RR,113,3,30,0
2020-04-14,Brazil,RR,114,3,1,0
2020-04-15,Brazil,RR,142,3,28,0
2020-04-16,Brazil,RR,164,3,22,0
2020-04-17,Brazil,RR,201,3,37,0
2020-04-18,Brazil,RR,222,3,21,0
2020-04-19,Brazil,RR,244,3,22,0
2020-04-20,Brazil,RR,247,3,3,0
2020-04-21,Brazil,RR,280,3,33,0
2020-04-22,Brazil,RR,297,3,17,0
2020-04-23,Brazil,RR,304,3,7,0
2020-04-24,Brazil,RR,345,3,41,0
2020-04-25,Brazil,RR,401,4,56,1
2020-04-26,Brazil,RR,407,4,6,0
2020-04-27,Brazil,RR,425,4,18,0
2020-04-28,Brazil,RR,425,4,0,0
2020-04-29,Brazil,RR,426,4,1,0
2020-04-30,Brazil,RR,519,7,93,3
2020-05-01,Brazil,RR,519,7,0,0
2020-05-02,Brazil,RR,668,9,149,2
2020-05-03,Brazil,RR,533,7,-135,-2
2020-05-04,Brazil,RR,578,11,45,4
2020-05-05,Brazil,RR,869,11,291,0
2020-05-06,Brazil,RR,932,13,63,2
2020-05-07,Brazil,RR,1020,14,88,1
2020-05-08,Brazil,RR,1124,16,104,2
2020-05-09,Brazil,RR,1202,18,78,2
2020-05-10,Brazil,RR,1290,21,88,3
2020-05-11,Brazil,RR,1295,24,5,3
2020-05-12,Brazil,RR,1411,28,116,4
2020-05-13,Brazil,RR,1411,29,0,1
2020-05-14,Brazil,RR,1500,37,89,8
2020-05-15,Brazil,RR,1589,40,89,3
2020-05-16,Brazil,RR,1706,49,117,9
2020-05-17,Brazil,RR,1791,51,85,2
2020-05-18,Brazil,RR,1882,60,91,9
2020-05-19,Brazil,RR,1988,64,106,4
2020-05-20,Brazil,RR,1988,64,0,0
2020-05-21,Brazil,RR,1988,64,0,0
2020-05-22,Brazil,RR,2296,72,308,8
2020-05-23,Brazil,RR,2439,72,143,0
2020-05-24,Brazil,RR,2439,84,0,12
2020-05-25,Brazil,RR,2564,86,125,2
2020-05-26,Brazil,RR,2682,102,118,16
2020-05-27,Brazil,RR,2959,102,277,0
2020-05-28,Brazil,RR,3098,108,139,6
2020-05-29,Brazil,RR,3299,110,201,2
2020-05-30,Brazil,RR,3474,116,175,6
2020-05-31,Brazil,RR,3692,116,218,0
2020-06-01,Brazil,RR,3850,120,158,4
2020-06-02,Brazil,RR,4143,124,293,4
2020-06-03,Brazil,RR,4143,124,0,0
2020-06-04,Brazil,RR,4831,139,688,15
2020-06-05,Brazil,RR,5238,139,407,0
2020-06-06,Brazil,RR,5529,142,291,3
2020-06-07,Brazil,RR,5768,145,239,3
2020-06-08,Brazil,RR,6056,168,288,23
2020-06-09,Brazil,RR,6347,182,291,14
2020-06-10,Brazil,RR,6594,188,247,6
2020-06-11,Brazil,RR,6712,192,118,4
2020-06-12,Brazil,RR,6842,197,130,5
2020-06-13,Brazil,RR,6875,200,33,3
2020-06-14,Brazil,RR,6881,203,6,3
2020-06-15,Brazil,RR,6935,216,54,13
2020-06-16,Brazil,RR,7150,224,215,8
2020-06-17,Brazil,RR,7421,224,271,0
2020-06-18,Brazil,RR,7650,239,229,15
2020-06-19,Brazil,RR,8037,245,387,6
2020-06-20,Brazil,RR,8120,251,83,6
2020-06-21,Brazil,RR,8188,251,68,0
2020-06-22,Brazil,RR,10340,250,2152,-1
2020-06-23,Brazil,RR,10803,259,463,9
2020-06-24,Brazil,RR,11872,271,1069,12
2020-06-25,Brazil,RR,12911,273,1039,2
2020-06-26,Brazil,RR,13078,281,167,8
2020-06-27,Brazil,RR,14341,281,1263,0
2020-06-28,Brazil,RR,14459,281,118,0
2020-06-29,Brazil,RR,14641,283,182,2
2020-06-30,Brazil,RR,15153,314,512,31
2020-07-01,Brazil,RR,17583,354,2430,40
2020-07-02,Brazil,RR,18323,358,740,4
2020-07-03,Brazil,RR,18769,364,446,6
2020-07-04,Brazil,RR,18922,368,153,4
2020-07-05,Brazil,RR,18948,371,26,3
2020-07-06,Brazil,RR,19088,376,140,5
2020-07-07,Brazil,RR,19284,386,196,10
2020-07-08,Brazil,RR,20154,393,870,7
2020-07-09,Brazil,RR,21220,393,1066,0
2020-07-10,Brazil,RR,21849,396,629,3
2020-07-11,Brazil,RR,22225,396,376,0
2020-07-12,Brazil,RR,22627,397,402,1
2020-07-13,Brazil,RR,22968,398,341,1
2020-07-14,Brazil,RR,23681,403,713,5
2020-07-15,Brazil,RR,24397,415,716,12
2020-07-16,Brazil,RR,25007,425,610,10
2020-07-17,Brazil,RR,25373,429,366,4
2020-07-18,Brazil,RR,25467,429,94,0
2020-07-19,Brazil,RR,25686,431,219,2
2020-07-20,Brazil,RR,25985,435,299,4
2020-07-21,Brazil,RR,26954,451,969,16
2020-07-22,Brazil,RR,27932,458,978,7
2020-07-23,Brazil,RR,28874,465,942,7
2020-07-24,Brazil,RR,29394,473,520,8
2020-07-25,Brazil,RR,29829,473,435,0
2020-07-26,Brazil,RR,29902,474,73,1
2020-07-27,Brazil,RR,30316,479,414,5
2020-07-28,Brazil,RR,30996,493,680,14
2020-07-29,Brazil,RR,31455,501,459,8
2020-07-30,Brazil,RR,32016,505,561,4
2020-07-31,Brazil,RR,32723,513,707,8
2020-08-01,Brazil,RR,33151,513,428,0
2020-08-02,Brazil,RR,33188,513,37,0
2020-08-03,Brazil,RR,33194,528,6,15
2020-08-04,Brazil,RR,34296,532,1102,4
2020-08-05,Brazil,RR,34929,538,633,6
2020-08-06,Brazil,RR,35540,544,611,6
2020-08-07,Brazil,RR,35933,547,393,3
2020-08-08,Brazil,RR,36387,547,454,0
2020-08-09,Brazil,RR,36449,547,62,0
2020-08-10,Brazil,RR,37006,551,557,4
2020-08-11,Brazil,RR,37579,555,573,4
2020-08-12,Brazil,RR,38270,561,691,6
2020-08-13,Brazil,RR,38897,565,627,4
2020-08-14,Brazil,RR,39397,568,500,3
2020-08-15,Brazil,RR,39623,568,226,0
2020-08-16,Brazil,RR,39665,568,42,0
2020-08-17,Brazil,RR,40183,574,518,6
2020-08-18,Brazil,RR,40501,575,318,1
2020-08-19,Brazil,RR,40989,576,488,1
2020-08-20,Brazil,RR,41191,576,202,0
2020-08-21,Brazil,RR,41527,579,336,3
2020-08-22,Brazil,RR,41730,579,203,0
2020-08-23,Brazil,RR,41770,579,40,0
2020-08-24,Brazil,RR,42044,582,274,3
2020-08-25,Brazil,RR,42359,582,315,0
2020-08-26,Brazil,RR,42690,586,331,4
2020-08-27,Brazil,RR,42997,587,307,1
2020-08-28,Brazil,RR,43299,587,302,0
2020-08-29,Brazil,RR,43470,587,171,0
2020-08-30,Brazil,RR,43518,587,48,0
2020-08-31,Brazil,RR,43707,593,189,6
2020-09-01,Brazil,RR,44036,595,329,2
2020-09-02,Brazil,RR,44334,596,298,1
2020-09-03,Brazil,RR,44665,598,331,2
2020-09-04,Brazil,RR,44975,598,310,0
2020-09-05,Brazil,RR,45137,598,162,0
2020-09-06,Brazil,RR,45253,598,116,0
2020-09-07,Brazil,RR,45302,598,49,0
2020-09-08,Brazil,RR,45505,605,203,7
2020-09-09,Brazil,RR,45855,607,350,2
2020-09-10,Brazil,RR,46102,609,247,2
2020-09-11,Brazil,RR,46348,610,246,1
2020-09-12,Brazil,RR,46478,610,130,0
2020-09-13,Brazil,RR,46545,610,67,0
2020-09-14,Brazil,RR,46848,611,303,1
2020-09-15,Brazil,RR,47164,611,316,0
2020-09-16,Brazil,RR,47398,611,234,0
2020-09-17,Brazil,RR,47692,613,294,2
2020-09-18,Brazil,RR,48088,613,396,0
2020-09-19,Brazil,RR,48302,613,214,0
2020-09-20,Brazil,RR,48330,613,28,0
2020-09-21,Brazil,RR,48542,616,212,3
2020-09-22,Brazil,RR,48919,616,377,0
2020-09-23,Brazil,RR,49216,635,297,19
2020-09-24,Brazil,RR,49474,637,258,2
2020-09-25,Brazil,RR,49681,637,207,0
2020-09-26,Brazil,RR,49911,637,230,0
2020-09-27,Brazil,RR,49968,637,57,0
