date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,RS,0,0,0,0
2020-02-26,Brazil,RS,0,0,0,0
2020-02-27,Brazil,RS,0,0,0,0
2020-02-28,Brazil,RS,0,0,0,0
2020-02-29,Brazil,RS,0,0,0,0
2020-03-01,Brazil,RS,0,0,0,0
2020-03-02,Brazil,RS,0,0,0,0
2020-03-03,Brazil,RS,0,0,0,0
2020-03-04,Brazil,RS,0,0,0,0
2020-03-05,Brazil,RS,0,0,0,0
2020-03-06,Brazil,RS,0,0,0,0
2020-03-07,Brazil,RS,0,0,0,0
2020-03-08,Brazil,RS,0,0,0,0
2020-03-09,Brazil,RS,0,0,0,0
2020-03-10,Brazil,RS,1,0,1,0
2020-03-11,Brazil,RS,2,0,1,0
2020-03-12,Brazil,RS,4,0,2,0
2020-03-13,Brazil,RS,4,0,0,0
2020-03-14,Brazil,RS,4,0,0,0
2020-03-15,Brazil,RS,4,0,0,0
2020-03-16,Brazil,RS,8,0,4,0
2020-03-17,Brazil,RS,8,0,0,0
2020-03-18,Brazil,RS,19,0,11,0
2020-03-19,Brazil,RS,31,0,12,0
2020-03-20,Brazil,RS,43,0,12,0
2020-03-21,Brazil,RS,69,0,26,0
2020-03-22,Brazil,RS,77,0,8,0
2020-03-23,Brazil,RS,96,0,19,0
2020-03-24,Brazil,RS,112,0,16,0
2020-03-25,Brazil,RS,162,1,50,1
2020-03-26,Brazil,RS,190,1,28,0
2020-03-27,Brazil,RS,197,2,7,1
2020-03-28,Brazil,RS,200,2,3,0
2020-03-29,Brazil,RS,230,2,30,0
2020-03-30,Brazil,RS,254,4,24,2
2020-03-31,Brazil,RS,305,4,51,0
2020-04-01,Brazil,RS,316,5,11,1
2020-04-02,Brazil,RS,386,5,70,0
2020-04-03,Brazil,RS,410,6,24,1
2020-04-04,Brazil,RS,418,7,8,1
2020-04-05,Brazil,RS,468,7,50,0
2020-04-06,Brazil,RS,501,8,33,1
2020-04-07,Brazil,RS,555,8,54,0
2020-04-08,Brazil,RS,581,10,26,2
2020-04-09,Brazil,RS,636,14,55,4
2020-04-10,Brazil,RS,640,15,4,1
2020-04-11,Brazil,RS,653,16,13,1
2020-04-12,Brazil,RS,664,16,11,0
2020-04-13,Brazil,RS,685,17,21,1
2020-04-14,Brazil,RS,720,18,35,1
2020-04-15,Brazil,RS,762,19,42,1
2020-04-16,Brazil,RS,792,21,30,2
2020-04-17,Brazil,RS,831,24,39,3
2020-04-18,Brazil,RS,854,24,23,0
2020-04-19,Brazil,RS,869,26,15,2
2020-04-20,Brazil,RS,904,27,35,1
2020-04-21,Brazil,RS,918,27,14,0
2020-04-22,Brazil,RS,970,28,52,1
2020-04-23,Brazil,RS,1039,29,69,1
2020-04-24,Brazil,RS,1096,34,57,5
2020-04-25,Brazil,RS,1166,35,70,1
2020-04-26,Brazil,RS,1208,38,42,3
2020-04-27,Brazil,RS,1256,45,48,7
2020-04-28,Brazil,RS,1350,49,94,4
2020-04-29,Brazil,RS,1420,51,70,2
2020-04-30,Brazil,RS,1529,58,109,7
2020-05-01,Brazil,RS,1619,62,90,4
2020-05-02,Brazil,RS,1666,65,47,3
2020-05-03,Brazil,RS,1690,67,24,2
2020-05-04,Brazil,RS,1768,76,78,9
2020-05-05,Brazil,RS,2019,83,251,7
2020-05-06,Brazil,RS,2100,90,81,7
2020-05-07,Brazil,RS,2182,91,82,1
2020-05-08,Brazil,RS,2493,95,311,4
2020-05-09,Brazil,RS,2542,97,49,2
2020-05-10,Brazil,RS,2576,100,34,3
2020-05-11,Brazil,RS,2808,105,232,5
2020-05-12,Brazil,RS,2917,111,109,6
2020-05-13,Brazil,RS,2997,120,80,9
2020-05-14,Brazil,RS,3101,126,104,6
2020-05-15,Brazil,RS,3695,132,594,6
2020-05-16,Brazil,RS,3734,138,39,6
2020-05-17,Brazil,RS,3735,144,1,6
2020-05-18,Brazil,RS,3750,151,15,7
2020-05-19,Brazil,RS,3798,160,48,9
2020-05-20,Brazil,RS,4973,161,1175,1
2020-05-21,Brazil,RS,5473,166,500,5
2020-05-22,Brazil,RS,5918,172,445,6
2020-05-23,Brazil,RS,6336,176,418,4
2020-05-24,Brazil,RS,6470,180,134,4
2020-05-25,Brazil,RS,6559,197,89,17
2020-05-26,Brazil,RS,6785,203,226,6
2020-05-27,Brazil,RS,7048,209,263,6
2020-05-28,Brazil,RS,8234,213,1186,4
2020-05-29,Brazil,RS,8843,216,609,3
2020-05-30,Brazil,RS,9242,218,399,2
2020-05-31,Brazil,RS,9332,224,90,6
2020-06-01,Brazil,RS,9496,232,164,8
2020-06-02,Brazil,RS,9919,245,423,13
2020-06-03,Brazil,RS,10398,258,479,13
2020-06-04,Brazil,RS,11010,265,612,7
2020-06-05,Brazil,RS,11583,276,573,11
2020-06-06,Brazil,RS,12037,283,454,7
2020-06-07,Brazil,RS,12135,286,98,3
2020-06-08,Brazil,RS,12250,291,115,5
2020-06-09,Brazil,RS,12802,302,552,11
2020-06-10,Brazil,RS,13619,316,817,14
2020-06-11,Brazil,RS,14168,323,549,7
2020-06-12,Brazil,RS,14384,337,216,14
2020-06-13,Brazil,RS,14627,344,243,7
2020-06-14,Brazil,RS,14661,350,34,6
2020-06-15,Brazil,RS,15438,360,777,10
2020-06-16,Brazil,RS,16471,374,1033,14
2020-06-17,Brazil,RS,17128,387,657,13
2020-06-18,Brazil,RS,17822,406,694,19
2020-06-19,Brazil,RS,18587,423,765,17
2020-06-20,Brazil,RS,19138,430,551,7
2020-06-21,Brazil,RS,19348,434,210,4
2020-06-22,Brazil,RS,19710,458,362,24
