date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,SC,0,0,0,0
2020-02-26,Brazil,SC,0,0,0,0
2020-02-27,Brazil,SC,0,0,0,0
2020-02-28,Brazil,SC,0,0,0,0
2020-02-29,Brazil,SC,0,0,0,0
2020-03-01,Brazil,SC,0,0,0,0
2020-03-02,Brazil,SC,0,0,0,0
2020-03-03,Brazil,SC,0,0,0,0
2020-03-04,Brazil,SC,0,0,0,0
2020-03-05,Brazil,SC,0,0,0,0
2020-03-06,Brazil,SC,0,0,0,0
2020-03-07,Brazil,SC,0,0,0,0
2020-03-08,Brazil,SC,0,0,0,0
2020-03-09,Brazil,SC,0,0,0,0
2020-03-10,Brazil,SC,0,0,0,0
2020-03-11,Brazil,SC,0,0,0,0
2020-03-12,Brazil,SC,2,0,2,0
2020-03-13,Brazil,SC,3,0,1,0
2020-03-14,Brazil,SC,5,0,2,0
2020-03-15,Brazil,SC,6,0,1,0
2020-03-16,Brazil,SC,7,0,1,0
2020-03-17,Brazil,SC,7,0,0,0
2020-03-18,Brazil,SC,14,0,7,0
2020-03-19,Brazil,SC,21,0,7,0
2020-03-20,Brazil,SC,40,0,19,0
2020-03-21,Brazil,SC,57,0,17,0
2020-03-22,Brazil,SC,68,0,11,0
2020-03-23,Brazil,SC,86,0,18,0
2020-03-24,Brazil,SC,109,0,23,0
2020-03-25,Brazil,SC,122,0,13,0
2020-03-26,Brazil,SC,149,1,27,1
2020-03-27,Brazil,SC,163,1,14,0
2020-03-28,Brazil,SC,184,1,21,0
2020-03-29,Brazil,SC,197,1,13,0
2020-03-30,Brazil,SC,219,2,22,1
2020-03-31,Brazil,SC,235,2,16,0
2020-04-01,Brazil,SC,247,2,12,0
2020-04-02,Brazil,SC,281,5,34,3
2020-04-03,Brazil,SC,301,5,20,0
2020-04-04,Brazil,SC,356,10,55,5
2020-04-05,Brazil,SC,379,10,23,0
2020-04-06,Brazil,SC,417,11,38,1
2020-04-07,Brazil,SC,457,15,40,4
2020-04-08,Brazil,SC,501,17,44,2
2020-04-09,Brazil,SC,693,18,192,1
2020-04-10,Brazil,SC,717,18,24,0
2020-04-11,Brazil,SC,732,21,15,3
2020-04-12,Brazil,SC,776,24,44,3
2020-04-13,Brazil,SC,826,26,50,2
2020-04-14,Brazil,SC,853,28,27,2
2020-04-15,Brazil,SC,884,29,31,1
2020-04-16,Brazil,SC,926,30,42,1
2020-04-17,Brazil,SC,962,31,36,1
2020-04-18,Brazil,SC,975,32,13,1
2020-04-19,Brazil,SC,1025,35,50,3
2020-04-20,Brazil,SC,1063,35,38,0
2020-04-21,Brazil,SC,1091,37,28,2
2020-04-22,Brazil,SC,1115,39,24,2
2020-04-23,Brazil,SC,1170,42,55,3
2020-04-24,Brazil,SC,1209,42,39,0
2020-04-25,Brazil,SC,1235,42,26,0
2020-04-26,Brazil,SC,1337,43,102,1
2020-04-27,Brazil,SC,1476,44,139,1
2020-04-28,Brazil,SC,1995,44,519,0
2020-04-29,Brazil,SC,2085,46,90,2
2020-04-30,Brazil,SC,2394,48,309,2
2020-05-01,Brazil,SC,2104,50,-290,2
2020-05-02,Brazil,SC,2346,52,242,2
2020-05-03,Brazil,SC,2519,52,173,0
2020-05-04,Brazil,SC,2623,55,104,3
2020-05-05,Brazil,SC,2795,58,172,3
2020-05-06,Brazil,SC,2917,59,122,1
2020-05-07,Brazil,SC,3082,63,165,4
2020-05-08,Brazil,SC,3205,63,123,0
2020-05-09,Brazil,SC,3372,64,167,1
2020-05-10,Brazil,SC,3429,65,57,1
2020-05-11,Brazil,SC,3529,69,100,4
2020-05-12,Brazil,SC,3733,73,204,4
2020-05-13,Brazil,SC,3828,73,95,0
2020-05-14,Brazil,SC,4332,78,504,5
2020-05-15,Brazil,SC,4562,79,230,1
2020-05-16,Brazil,SC,4678,81,116,2
2020-05-17,Brazil,SC,4776,83,98,2
2020-05-18,Brazil,SC,5175,85,399,2
2020-05-19,Brazil,SC,5413,91,238,6
2020-05-20,Brazil,SC,5499,94,86,3
2020-05-21,Brazil,SC,5610,98,111,4
2020-05-22,Brazil,SC,6458,100,848,2
2020-05-23,Brazil,SC,6607,103,149,3
2020-05-24,Brazil,SC,6696,105,89,2
2020-05-25,Brazil,SC,6875,109,179,4
2020-05-26,Brazil,SC,7016,121,141,12
2020-05-27,Brazil,SC,7372,126,356,5
2020-05-28,Brazil,SC,8000,131,628,5
2020-05-29,Brazil,SC,8530,134,530,3
2020-05-30,Brazil,SC,8780,136,250,2
2020-05-31,Brazil,SC,9037,143,257,7
2020-06-01,Brazil,SC,9498,146,461,3
2020-06-02,Brazil,SC,9660,148,162,2
2020-06-03,Brazil,SC,10034,152,374,4
2020-06-04,Brazil,SC,10532,156,498,4
2020-06-05,Brazil,SC,10846,159,314,3
2020-06-06,Brazil,SC,11285,166,439,7
2020-06-07,Brazil,SC,11565,171,280,5
