date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,SE,0,0,0,0
2020-02-26,Brazil,SE,0,0,0,0
2020-02-27,Brazil,SE,0,0,0,0
2020-02-28,Brazil,SE,0,0,0,0
2020-02-29,Brazil,SE,0,0,0,0
2020-03-01,Brazil,SE,0,0,0,0
2020-03-02,Brazil,SE,0,0,0,0
2020-03-03,Brazil,SE,0,0,0,0
2020-03-04,Brazil,SE,0,0,0,0
2020-03-05,Brazil,SE,0,0,0,0
2020-03-06,Brazil,SE,0,0,0,0
2020-03-07,Brazil,SE,0,0,0,0
2020-03-08,Brazil,SE,0,0,0,0
2020-03-09,Brazil,SE,0,0,0,0
2020-03-10,Brazil,SE,0,0,0,0
2020-03-11,Brazil,SE,0,0,0,0
2020-03-12,Brazil,SE,0,0,0,0
2020-03-13,Brazil,SE,0,0,0,0
2020-03-14,Brazil,SE,1,0,1,0
2020-03-15,Brazil,SE,1,0,0,0
2020-03-16,Brazil,SE,5,0,4,0
2020-03-17,Brazil,SE,5,0,0,0
2020-03-18,Brazil,SE,6,0,1,0
2020-03-19,Brazil,SE,6,0,0,0
2020-03-20,Brazil,SE,7,0,1,0
2020-03-21,Brazil,SE,10,0,3,0
2020-03-22,Brazil,SE,10,0,0,0
2020-03-23,Brazil,SE,10,0,0,0
2020-03-24,Brazil,SE,15,0,5,0
2020-03-25,Brazil,SE,16,0,1,0
2020-03-26,Brazil,SE,16,0,0,0
2020-03-27,Brazil,SE,16,0,0,0
2020-03-28,Brazil,SE,16,0,0,0
2020-03-29,Brazil,SE,16,0,0,0
2020-03-30,Brazil,SE,18,0,2,0
2020-03-31,Brazil,SE,19,0,1,0
2020-04-01,Brazil,SE,22,0,3,0
2020-04-02,Brazil,SE,24,2,2,2
2020-04-03,Brazil,SE,27,2,3,0
2020-04-04,Brazil,SE,32,3,5,1
2020-04-05,Brazil,SE,32,3,0,0
2020-04-06,Brazil,SE,32,4,0,1
2020-04-07,Brazil,SE,36,4,4,0
2020-04-08,Brazil,SE,39,4,3,0
2020-04-09,Brazil,SE,40,4,1,0
2020-04-10,Brazil,SE,42,4,2,0
2020-04-11,Brazil,SE,44,4,2,0
2020-04-12,Brazil,SE,44,4,0,0
2020-04-13,Brazil,SE,45,4,1,0
2020-04-14,Brazil,SE,46,4,1,0
2020-04-15,Brazil,SE,48,4,2,0
2020-04-16,Brazil,SE,53,4,5,0
2020-04-17,Brazil,SE,58,4,5,0
2020-04-18,Brazil,SE,71,5,13,1
2020-04-19,Brazil,SE,86,5,15,0
2020-04-20,Brazil,SE,92,5,6,0
2020-04-21,Brazil,SE,117,7,25,2
2020-04-22,Brazil,SE,118,7,1,0
2020-04-23,Brazil,SE,135,8,17,1
2020-04-24,Brazil,SE,145,8,10,0
2020-04-25,Brazil,SE,154,9,9,1
2020-04-26,Brazil,SE,175,9,21,0
2020-04-27,Brazil,SE,211,11,36,2
2020-04-28,Brazil,SE,280,11,69,0
2020-04-29,Brazil,SE,280,11,0,0
2020-04-30,Brazil,SE,453,14,173,3
2020-05-01,Brazil,SE,517,14,64,0
2020-05-02,Brazil,SE,601,14,84,0
2020-05-03,Brazil,SE,730,14,129,0
2020-05-04,Brazil,SE,772,17,42,3
2020-05-05,Brazil,SE,898,21,126,4
2020-05-06,Brazil,SE,998,23,100,2
2020-05-07,Brazil,SE,1214,25,216,2
2020-05-08,Brazil,SE,1438,28,224,3
2020-05-09,Brazil,SE,1588,33,150,5
2020-05-10,Brazil,SE,1771,34,183,1
2020-05-11,Brazil,SE,1800,37,29,3
2020-05-12,Brazil,SE,2032,37,232,0
2020-05-13,Brazil,SE,2268,42,236,5
2020-05-14,Brazil,SE,2494,47,226,5
2020-05-15,Brazil,SE,2868,50,374,3
2020-05-16,Brazil,SE,3135,53,267,3
2020-05-17,Brazil,SE,3343,57,208,4
2020-05-18,Brazil,SE,3566,59,223,2
2020-05-19,Brazil,SE,3967,63,401,4
2020-05-20,Brazil,SE,4277,69,310,6
2020-05-21,Brazil,SE,4734,76,457,7
2020-05-22,Brazil,SE,4922,82,188,6
2020-05-23,Brazil,SE,5131,86,209,4
2020-05-24,Brazil,SE,5314,93,183,7
2020-05-25,Brazil,SE,5448,103,134,10
2020-05-26,Brazil,SE,5735,116,287,13
2020-05-27,Brazil,SE,5912,127,177,11
2020-05-28,Brazil,SE,6156,135,244,8
2020-05-29,Brazil,SE,6462,142,306,7
2020-05-30,Brazil,SE,6805,149,343,7
2020-05-31,Brazil,SE,6999,158,194,9
2020-06-01,Brazil,SE,7233,166,234,8
2020-06-02,Brazil,SE,7555,172,322,6
2020-06-03,Brazil,SE,7989,180,434,8
2020-06-04,Brazil,SE,8200,186,211,6
2020-06-05,Brazil,SE,8577,198,377,12
2020-06-06,Brazil,SE,8972,208,395,10
2020-06-07,Brazil,SE,9290,217,318,9
2020-06-08,Brazil,SE,9727,234,437,17
2020-06-09,Brazil,SE,10126,252,399,18
2020-06-10,Brazil,SE,10615,264,489,12
2020-06-11,Brazil,SE,11056,283,441,19
2020-06-12,Brazil,SE,11534,305,478,22
2020-06-13,Brazil,SE,12866,316,1332,11
2020-06-14,Brazil,SE,13968,330,1102,14
2020-06-15,Brazil,SE,15675,352,1707,22
2020-06-16,Brazil,SE,16310,364,635,12
2020-06-17,Brazil,SE,16807,383,497,19
2020-06-18,Brazil,SE,17338,400,531,17
2020-06-19,Brazil,SE,17808,426,470,26
2020-06-20,Brazil,SE,18449,448,641,22
2020-06-21,Brazil,SE,18985,462,536,14
2020-06-22,Brazil,SE,19384,491,399,29
2020-06-23,Brazil,SE,19883,511,499,20
2020-06-24,Brazil,SE,20353,524,470,13
2020-06-25,Brazil,SE,21081,554,728,30
2020-06-26,Brazil,SE,21908,579,827,25
2020-06-27,Brazil,SE,23319,605,1411,26
2020-06-28,Brazil,SE,24421,620,1102,15
