date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,SP,1,0,1,0
2020-02-26,Brazil,SP,1,0,0,0
2020-02-27,Brazil,SP,1,0,0,0
2020-02-28,Brazil,SP,2,0,1,0
2020-02-29,Brazil,SP,2,0,0,0
2020-03-01,Brazil,SP,2,0,0,0
2020-03-02,Brazil,SP,2,0,0,0
2020-03-03,Brazil,SP,2,0,0,0
2020-03-04,Brazil,SP,3,0,1,0
2020-03-05,Brazil,SP,6,0,3,0
2020-03-06,Brazil,SP,10,0,4,0
2020-03-07,Brazil,SP,13,0,3,0
2020-03-08,Brazil,SP,16,0,3,0
2020-03-09,Brazil,SP,16,0,0,0
2020-03-10,Brazil,SP,19,0,3,0
2020-03-11,Brazil,SP,30,0,11,0
2020-03-12,Brazil,SP,46,0,16,0
2020-03-13,Brazil,SP,46,0,0,0
2020-03-14,Brazil,SP,65,0,19,0
2020-03-15,Brazil,SP,65,0,0,0
2020-03-16,Brazil,SP,152,0,87,0
2020-03-17,Brazil,SP,164,1,12,1
2020-03-18,Brazil,SP,240,3,76,2
2020-03-19,Brazil,SP,286,5,46,2
2020-03-20,Brazil,SP,396,9,110,4
2020-03-21,Brazil,SP,396,15,0,6
2020-03-22,Brazil,SP,631,22,235,7
2020-03-23,Brazil,SP,745,30,114,8
2020-03-24,Brazil,SP,810,40,65,10
2020-03-25,Brazil,SP,862,48,52,8
2020-03-26,Brazil,SP,1052,58,190,10
2020-03-27,Brazil,SP,1223,68,171,10
2020-03-28,Brazil,SP,1406,84,183,16
2020-03-29,Brazil,SP,1451,98,45,14
2020-03-30,Brazil,SP,1517,113,66,15
2020-03-31,Brazil,SP,2339,136,822,23
2020-04-01,Brazil,SP,2981,164,642,28
2020-04-02,Brazil,SP,3506,188,525,24
2020-04-03,Brazil,SP,4048,219,542,31
2020-04-04,Brazil,SP,4466,260,418,41
2020-04-05,Brazil,SP,4620,275,154,15
2020-04-06,Brazil,SP,4866,304,246,29
2020-04-07,Brazil,SP,5682,371,816,67
2020-04-08,Brazil,SP,6708,428,1026,57
2020-04-09,Brazil,SP,7480,496,772,68
2020-04-10,Brazil,SP,8216,540,736,44
2020-04-11,Brazil,SP,8419,560,203,20
2020-04-12,Brazil,SP,8755,588,336,28
2020-04-13,Brazil,SP,8895,608,140,20
2020-04-14,Brazil,SP,9371,695,476,87
2020-04-15,Brazil,SP,11043,778,1672,83
2020-04-16,Brazil,SP,11568,853,525,75
2020-04-17,Brazil,SP,12841,928,1273,75
2020-04-18,Brazil,SP,13894,991,1053,63
2020-04-19,Brazil,SP,14267,1015,373,24
2020-04-20,Brazil,SP,14580,1037,313,22
2020-04-21,Brazil,SP,15385,1093,805,56
2020-04-22,Brazil,SP,15914,1134,529,41
2020-04-23,Brazil,SP,16740,1345,826,211
2020-04-24,Brazil,SP,17826,1512,1086,167
2020-04-25,Brazil,SP,20004,1667,2178,155
2020-04-26,Brazil,SP,20715,1700,711,33
2020-04-27,Brazil,SP,21696,1825,981,125
2020-04-28,Brazil,SP,24041,2049,2345,224
2020-04-29,Brazil,SP,26158,2247,2117,198
2020-04-30,Brazil,SP,28698,2375,2540,128
2020-05-01,Brazil,SP,30374,2511,1676,136
2020-05-02,Brazil,SP,31174,2586,800,75
2020-05-03,Brazil,SP,31772,2627,598,41
2020-05-04,Brazil,SP,32187,2654,415,27
2020-05-05,Brazil,SP,34053,2851,1866,197
2020-05-06,Brazil,SP,37853,3045,3800,194
2020-05-07,Brazil,SP,39928,3206,2075,161
2020-05-08,Brazil,SP,41830,3416,1902,210
2020-05-09,Brazil,SP,44411,3608,2581,192
2020-05-10,Brazil,SP,45444,3709,1033,101
2020-05-11,Brazil,SP,46131,3743,687,34
2020-05-12,Brazil,SP,47719,3949,1588,206
2020-05-13,Brazil,SP,51097,4118,3378,169
2020-05-14,Brazil,SP,54286,4315,3189,197
2020-05-15,Brazil,SP,58378,4501,4092,186
2020-05-16,Brazil,SP,61183,4688,2805,187
2020-05-17,Brazil,SP,62345,4782,1162,94
2020-05-18,Brazil,SP,63066,4823,721,41
2020-05-19,Brazil,SP,65995,5147,2929,324
2020-05-20,Brazil,SP,69859,5363,3864,216
2020-05-21,Brazil,SP,73739,5558,3880,195
2020-05-22,Brazil,SP,76871,5773,3132,215
