date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,TO,0,0,0,0
2020-02-26,Brazil,TO,0,0,0,0
2020-02-27,Brazil,TO,0,0,0,0
2020-02-28,Brazil,TO,0,0,0,0
2020-02-29,Brazil,TO,0,0,0,0
2020-03-01,Brazil,TO,0,0,0,0
2020-03-02,Brazil,TO,0,0,0,0
2020-03-03,Brazil,TO,0,0,0,0
2020-03-04,Brazil,TO,0,0,0,0
2020-03-05,Brazil,TO,0,0,0,0
2020-03-06,Brazil,TO,0,0,0,0
2020-03-07,Brazil,TO,0,0,0,0
2020-03-08,Brazil,TO,0,0,0,0
2020-03-09,Brazil,TO,0,0,0,0
2020-03-10,Brazil,TO,0,0,0,0
2020-03-11,Brazil,TO,0,0,0,0
2020-03-12,Brazil,TO,0,0,0,0
2020-03-13,Brazil,TO,0,0,0,0
2020-03-14,Brazil,TO,0,0,0,0
2020-03-15,Brazil,TO,0,0,0,0
2020-03-16,Brazil,TO,0,0,0,0
2020-03-17,Brazil,TO,0,0,0,0
2020-03-18,Brazil,TO,1,0,1,0
2020-03-19,Brazil,TO,1,0,0,0
2020-03-20,Brazil,TO,1,0,0,0
2020-03-21,Brazil,TO,2,0,1,0
2020-03-22,Brazil,TO,5,0,3,0
2020-03-23,Brazil,TO,7,0,2,0
2020-03-24,Brazil,TO,7,0,0,0
2020-03-25,Brazil,TO,7,0,0,0
2020-03-26,Brazil,TO,8,0,1,0
2020-03-27,Brazil,TO,9,0,1,0
2020-03-28,Brazil,TO,9,0,0,0
2020-03-29,Brazil,TO,10,0,1,0
2020-03-30,Brazil,TO,11,0,1,0
2020-03-31,Brazil,TO,12,0,1,0
2020-04-01,Brazil,TO,12,0,0,0
2020-04-02,Brazil,TO,12,0,0,0
2020-04-03,Brazil,TO,13,0,1,0
2020-04-04,Brazil,TO,16,0,3,0
2020-04-05,Brazil,TO,17,0,1,0
2020-04-06,Brazil,TO,19,0,2,0
2020-04-07,Brazil,TO,19,0,0,0
2020-04-08,Brazil,TO,23,0,4,0
2020-04-09,Brazil,TO,23,0,0,0
2020-04-10,Brazil,TO,23,0,0,0
2020-04-11,Brazil,TO,25,0,2,0
2020-04-12,Brazil,TO,26,0,1,0
2020-04-13,Brazil,TO,26,0,0,0
2020-04-14,Brazil,TO,27,0,1,0
2020-04-15,Brazil,TO,29,1,2,1
2020-04-16,Brazil,TO,31,1,2,0
2020-04-17,Brazil,TO,32,1,1,0
2020-04-18,Brazil,TO,33,1,1,0
2020-04-19,Brazil,TO,34,1,1,0
2020-04-20,Brazil,TO,35,2,1,1
2020-04-21,Brazil,TO,36,2,1,0
2020-04-22,Brazil,TO,37,2,1,0
2020-04-23,Brazil,TO,43,2,6,0
2020-04-24,Brazil,TO,50,2,7,0
2020-04-25,Brazil,TO,58,2,8,0
2020-04-26,Brazil,TO,67,2,9,0
2020-04-27,Brazil,TO,79,2,12,0
2020-04-28,Brazil,TO,116,2,37,0
